시기,날짜,기사제목,url,감정,수치
시행전,2025-05-29,압구정 현대·이촌한강 '신고가 행진'…강남권 주변으로 상승세 확산,https://n.news.naver.com/article/015/0005138391,중립,0.9998857975006104
시행전,2025-05-29,조정대상지역 지정 등 정부 '규제카드' 만지작,https://n.news.naver.com/article/015/0005138390,중립,0.9999707937240601
시행전,2025-05-29,사업 방식·이주 대책 '깜깜'…분당신도시 내달 정비물량 축소될 듯,https://n.news.naver.com/article/015/0005138388,중립,0.999777615070343
시행전,2025-05-29,서울 아파트값 17주 연속 상승…세종은 오름폭 주춤,https://n.news.naver.com/article/119/0002962704,중립,0.953560471534729
시행전,2025-05-29,"동서울터미널, 39층 복합공간 내년 첫 삽 떠 2031년 준공",https://n.news.naver.com/article/015/0005138386,중립,0.999968409538269
시행전,2025-05-29,민간임대 '분양형 실버스테이' 인기 끌까,https://n.news.naver.com/article/015/0005138385,중립,0.9999674558639526
시행전,2025-05-29,강남 '마지막 노른자' 수서지구 재건축 '탄력',https://n.news.naver.com/article/015/0005138384,중립,0.9997873902320862
시행전,2025-05-29,"이문동 새 아파트, 20억 조경석 결국 설치되나…조합 안건 통과",https://n.news.naver.com/article/421/0008283510,중립,0.9999722242355347
시행전,2025-05-29,"DL이앤씨, 역세권 입지 ‘e편한세상 동대구역 센텀스퀘어’ 공급",https://n.news.naver.com/article/009/0005500843,중립,0.9939872026443481
시행전,2025-05-29,"아세아시멘트, 환경 대응형 특수 콘크리트 기술 개발",https://n.news.naver.com/article/366/0001081340,중립,0.9999516010284424
시행전,2025-05-29,"한국투자부동산신탁, ‘월드빌라' 소규모 재건축 정비사업 대행자 선정 [한양경제]",https://n.news.naver.com/article/666/0000074070,중립,0.9999643564224243
시행전,2025-05-29,"삼성물산, 건설 넘어 플랫폼으로…홈닉 ·바인드로 공간 혁신",https://n.news.naver.com/article/277/0005600588,놀람,0.6561672687530518
시행전,2025-05-29,"지방 광역시 집값 약세…""울산은 예외""",https://n.news.naver.com/article/031/0000936471,중립,0.999948263168335
시행전,2025-05-29,서울은 뜨겁고 지방은 싸늘…“집값 격차 더 벌어진다”,https://n.news.naver.com/article/119/0002962662,혐오,0.9499099254608154
시행전,2025-05-29,'7천가구 한숲시티 옆' 힐스테이트 용인마크밸리 선착순 공급,https://n.news.naver.com/article/648/0000036611,중립,0.9999699592590332
시행전,2025-05-29,"[게시판] 한국부동산분석학회, 30일 상반기 학술대회 개최",https://n.news.naver.com/article/001/0015420387,중립,0.9959296584129333
시행전,2025-05-29,"'재건축 테마주' 된 아파트, 서울 집값 끌어올려…지방은 52주째 하락",https://n.news.naver.com/article/277/0005600552,중립,0.9862760305404663
시행전,2025-05-29,'금융위기'급 성장률 0.8%…하반기 금리 2회 인하 가능성,https://n.news.naver.com/article/001/0015420348,중립,0.9999650716781616
시행전,2025-05-29,"레미콘연합회, 복합형 고성능 감수제 개발",https://n.news.naver.com/article/009/0005500807,중립,0.9999730587005615
시행전,2025-05-29,"현대건설, '힐스테이트 용인마크밸리' 선착순 분양",https://n.news.naver.com/article/215/0001210964,중립,0.9998892545700073
시행전,2025-05-29,"""이게 얼마짜리인데..."" 겁도 없이 사는 사람들, 지금은",https://n.news.naver.com/article/014/0005356658,슬픔,0.9950107336044312
시행전,2025-05-29,"""전셋집 찾기 힘드네""…서울 빌라 임대차 계약 60%가 월세",https://n.news.naver.com/article/469/0000867511,슬픔,0.9999336004257202
시행전,2025-05-29,"부활한 비아파트 ‘6년 단기등록임대’, 빌라·오피스텔 임대시장 살릴까",https://n.news.naver.com/article/243/0000078785,중립,0.9999558925628662
시행전,2025-05-29,"삼성역에서도 수하물 미리 부치고 체크인, 빈손 출국",https://n.news.naver.com/article/032/0003372856,슬픔,0.9995583891868591
시행전,2025-05-29,“청약통장도 필요없다”…‘힐스테이트 용인마크밸리’ 선착순 계약 순항,https://n.news.naver.com/article/009/0005500779,행복,0.9991596937179565
시행전,2025-05-29,"홈즈컴퍼니, 모건 스탠리와 손잡고 코리빙 '홈즈 안암' 열어",https://n.news.naver.com/article/014/0005356652,중립,0.9999704360961914
시행전,2025-05-29,"중랑구, 면목7구역 조합원 부담금 4천만원 줄여 정비계획 변경",https://n.news.naver.com/article/003/0013274730,중립,0.9999696016311646
시행전,2025-05-29,“주택공급 목표·시기·방법 안보인다”…유력 대선주자들 부동산 해법 살펴보니,https://n.news.naver.com/article/009/0005500774,중립,0.9999648332595825
시행전,2025-05-29,금리인하 ‘호재’ vs 대출축소 ‘악재’...7월이후 부동산 시장 어디로,https://n.news.naver.com/article/009/0005500771,중립,0.9998713731765747
시행전,2025-05-29,새만금 스마트 수변도시 2공구 조성공사 발주…공사비 3553억,https://n.news.naver.com/article/421/0008283143,중립,0.9995430707931519
시행전,2025-05-29,수서·일원 1만6000가구 '최고 40층' 재건축 시동[집슐랭],https://n.news.naver.com/article/011/0004491337,중립,0.9998939037322998
시행전,2025-05-29,"[단독] '20억 조경석' 결국 정식 설치됐다…조합측 ""안건 통과""",https://n.news.naver.com/article/014/0005356640,중립,0.9998971223831177
시행전,2025-05-29,반등했던 세종 집값 상승 폭 축소… 대전·충남은 여전히 하락세,https://n.news.naver.com/article/656/0000134186,중립,0.9999392032623291
시행전,2025-05-29,구리갈매역세권 단독주택·근생 용지 125필지 공급,https://n.news.naver.com/article/469/0000867487,중립,0.9999734163284302
시행전,2025-05-29,"'분양형 노인복지주택'은 안 되고, '분양형 실버스테이' 되고…이유는?",https://n.news.naver.com/article/015/0005138319,중립,0.9951775074005127
시행전,2025-05-29,‘주거 플랫폼’으로 공간 혁신 선도,https://n.news.naver.com/article/469/0000867480,중립,0.9996966123580933
시행전,2025-05-29,“일하는 방식을 바꾸자”… ‘프로답게’ 캠페인,https://n.news.naver.com/article/469/0000867478,중립,0.8932626247406006
시행전,2025-05-29,일·가정 양립문화 앞장 ‘가족친화기업’ 인증받아,https://n.news.naver.com/article/469/0000867477,행복,0.9999600648880005
시행전,2025-05-29,“똘똘한 한 채 열풍이라더니”…지칠 줄 모르고 오르는 강남 집값,https://n.news.naver.com/article/009/0005500751,슬픔,0.9430673718452454
시행전,2025-05-29,미래세대가 튼튼하게… ‘도심 속 놀이터’ 선물,https://n.news.naver.com/article/469/0000867474,행복,0.9999669790267944
시행전,2025-05-29,아파트 경매서 ‘0’ 하나 더 써서 33억 낙찰…차 한 대 값 날렸다 [부동산360],https://n.news.naver.com/article/016/0002478335,슬픔,0.9995412826538086
시행전,2025-05-29,"직방, 수요자 맞춤형 매물 추천 '찾아줘 신혼집' 출시",https://n.news.naver.com/article/003/0013274545,중립,0.9999462366104126
시행전,2025-05-29,멈출 줄 모르는 서울 아파트값 상승…양극화 '뚜렷',https://n.news.naver.com/article/374/0000443279,중립,0.9992305040359497
시행전,2025-05-29,"홈즈컴퍼니, 모건스탠리와 고려대 앞에 코리빙 '홈즈 안암' 개관",https://n.news.naver.com/article/015/0005138299,중립,0.9999721050262451
시행전,2025-05-29,"“한강뷰는 공공이나, 임대주택 몇 채가 로또 돼선 안돼” 형평성 논란 [부동산360]",https://n.news.naver.com/article/016/0002478322,중립,0.999916672706604
시행전,2025-05-29,"양평 신동아아파트, 여의도 따라 49층 고층 아파트 탈바꿈",https://n.news.naver.com/article/014/0005356617,중립,0.9997773766517639
시행전,2025-05-29,삼성역서도 출국 전 미리 수하물 위탁…'이지드랍' 도입,https://n.news.naver.com/article/119/0002962599,중립,0.9999686479568481
시행전,2025-05-29,여수시청별관 신축 통합청사 본격 추진 소식에 여수 주상복합 `쌍용 더 플래티넘 여수35`이목 집중,https://n.news.naver.com/article/029/0002958298,중립,0.9995564818382263
시행전,2025-05-29,서울 집값 상승폭 다시 커져…매수의향도 3월 수준 회복,https://n.news.naver.com/article/003/0013274453,중립,0.9999419450759888
시행전,2025-05-29,"홈즈컴퍼니-모건스탠리, 고려대 앞에 코리빙 `홈즈 안암` 오픈",https://n.news.naver.com/article/029/0002958296,중립,0.9999651908874512
시행전,2025-05-29,전세가율 2년 4개월來 최고…여주·이천은 80% 넘어 전국서 가장 높아,https://n.news.naver.com/article/366/0001081252,놀람,0.9999243021011353
시행전,2025-05-29,서울 아파트값 17주 연속 올랐다…재건축 기대에 '강남 3구' 강세,https://n.news.naver.com/article/422/0000744946,중립,0.9998109936714172
시행전,2025-05-29,"‘한강벨트’ 재건축 대기만 5만 가구, 서울시 ‘기브앤테이크’ 동의할까 [부동산360]",https://n.news.naver.com/article/016/0002478304,중립,0.9999767541885376
시행전,2025-05-29,5월 분양 15곳 중 4곳만 '완판'...흥행 참패에 쌓여가는 미분양,https://n.news.naver.com/article/025/0003444457,슬픔,0.9990620017051697
시행전,2025-05-29,'새만금 첫 도시' 스마트 수변도시 2공구 조성공사 본격화,https://n.news.naver.com/article/421/0008282807,중립,0.9999619722366333
시행전,2025-05-29,"한은 총재의 경고 ""금리 너무 빨리 낮추면 집값만 끌어올려, 실수 반복 말아야""",https://n.news.naver.com/article/029/0002958292,중립,0.9998658895492554
시행전,2025-05-29,“서울 집값 강남만 오르냐고? 관악·노원도 뛴다”…‘전방위 상승’,https://n.news.naver.com/article/022/0004039404,놀람,0.9943221807479858
시행전,2025-05-29,"전세사기 피해자 3만명 육박…LH ""피해지원 신청하세요""",https://n.news.naver.com/article/277/0005600426,중립,0.9890032410621643
시행전,2025-05-29,서울 아파트 매매가 17주 연속 상승… 오름폭도 점차 커져,https://n.news.naver.com/article/025/0003444450,놀람,0.9918949007987976
시행전,2025-05-29,"GS건설, ‘자이’ 단지에 개인 맞춤형 보관 ‘미니창고 다락’ 도입",https://n.news.naver.com/article/029/0002958284,중립,0.999955415725708
시행전,2025-05-29,"이창용 ""금리 정책, 부동산 자극 가능성…새 정부와 공감 기대""",https://n.news.naver.com/article/422/0000744927,중립,0.9999709129333496
시행전,2025-05-29,무등산 자락의 압도적 쾌적함 누린다 ‘무등산 우방 아이유쉘’ 6월 분양 예정,https://n.news.naver.com/article/016/0002478280,중립,0.8498625159263611
시행전,2025-05-29,'힐스테이트 용인마크밸리' 선착순 계약 순항,https://n.news.naver.com/article/417/0001080048,행복,0.9999642372131348
시행전,2025-05-29,"전세사기특별법 2년 연장…광양시 ""피해신청 지속 접수""",https://n.news.naver.com/article/421/0008282701,중립,0.9999693632125854
시행전,2025-05-29,"李·金 ""재건축·재개발 활성화…세종 행정수도"" 한 목소리",https://n.news.naver.com/article/003/0013274193,중립,0.999971866607666
시행전,2025-05-29,"""먼지 묻은 채로 투표하라고?""…LH 건설현장 144곳 선거일에도 정상근무",https://n.news.naver.com/article/277/0005600412,중립,0.9999631643295288
시행전,2025-05-30,"평촌신도시 선도지구 '꿈마을민백', 예비사업시행자 지정",https://n.news.naver.com/mnews/article/015/0005139047,중립,0.9999688863754272
시행전,2025-05-30,"""장화 신고 들어가, 구두 신고 나온다""… `신분평 더웨이시티 제일풍경채`, 어떤 단지길래?",https://n.news.naver.com/mnews/article/029/0002958546,중립,0.797369122505188
시행전,2025-05-30,"월급, 주식, 부동산, 연금에 붙는 세금이 궁금해…‘난생처음 세금여행’[신간]",https://n.news.naver.com/mnews/article/032/0003373152,중립,0.5780583620071411
시행전,2025-05-30,“이러다 유령 나올라”…20개월 연속 늘어났다는 ‘준공 후 미분양’,https://n.news.naver.com/mnews/article/009/0005501667,혐오,0.9993860721588135
시행전,2025-05-30,"GS건설, ‘디어 자이안’ 캠페인 본격 운영",https://n.news.naver.com/mnews/article/020/0003638500,중립,0.9999693632125854
시행전,2025-05-30,"삼성물산, 압구정2구역 핵심 금융 파트너십 체결",https://n.news.naver.com/mnews/article/020/0003638499,중립,0.9999226331710815
시행전,2025-05-30,‘신검단 로열파크씨티Ⅱ’ 방송 촬영 명소 급부상,https://n.news.naver.com/mnews/article/020/0003638498,중립,0.9999721050262451
시행전,2025-05-30,"법원 ""책임준공 못한 신탁사, PF 대출 원리금 대납해야""",https://n.news.naver.com/mnews/article/015/0005138992,중립,0.9999644756317139
시행전,2025-05-30,"'맞춤형 주택조사' 청사진 그리는 서울시…""주거여건·대출실태 파악""",https://n.news.naver.com/mnews/article/018/0006027876,중립,0.9998914003372192
시행전,2025-05-30,노후 아파트 180도 변신…'살(LIVE&BUY)'맛 나네요,https://n.news.naver.com/mnews/article/011/0004491917,중립,0.6465230584144592
시행전,2025-05-30,지방에 80% 쏠린 '악성 미분양',https://n.news.naver.com/mnews/article/015/0005138973,슬픔,0.7372972965240479
시행전,2025-05-30,"""주거 조사로는 한계""…서울시, 소득·대출·심리까지 들여다본다",https://n.news.naver.com/mnews/article/421/0008286117,혐오,0.9806613922119141
시행전,2025-05-30,전국 아파트값 0.08% 상승… 서울 상승·지방 하락 양극화 심화,https://n.news.naver.com/mnews/article/366/0001081711,중립,0.9997560381889343
시행전,2025-05-30,“첫 단지에 집중한다”… 신분평 도시개발사업 첫 분양 ‘제일풍경채’ 6월 공급,https://n.news.naver.com/mnews/article/020/0003638481,중립,0.9958727955818176
시행전,2025-05-30,"""경기 최악인데 충당금 부담까지"" 신탁업계 비명",https://n.news.naver.com/mnews/article/009/0005501584,슬픔,0.9902811050415039
시행전,2025-05-30,'준공 후 미분양' 20개월 연속 증가,https://n.news.naver.com/mnews/article/009/0005501582,슬픔,0.8714090585708618
시행전,2025-05-30,"'마래푸'도 全평형 신고가…""금리인하·공급 부족에 더 오를 것""",https://n.news.naver.com/mnews/article/011/0004491894,중립,0.9998852014541626
시행전,2025-05-30,아파트 입주민 민원 3건 중 1건은 ‘주차’… 전년比 비중 4%p 늘어,https://n.news.naver.com/mnews/article/366/0001081705,놀람,0.9998762607574463
시행전,2025-05-30,'불꺼진 새집' 2.6만가구…대구선 분양단지 절반이 '눈물의 세일',https://n.news.naver.com/mnews/article/015/0005138932,중립,0.732966423034668
시행전,2025-05-30,반값에 나와도 유찰…지방 경매도 '찬바람',https://n.news.naver.com/mnews/article/015/0005138930,중립,0.6118915677070618
시행전,2025-05-30,세제 혜택 주는 ‘단기 등록 임대주택’ 제도 부활에도 시장은 ‘시큰둥’,https://n.news.naver.com/mnews/article/366/0001081691,중립,0.9538282752037048
시행전,2025-05-30,“조합장 성과급이 38억?”평촌 재개발 억소리 나는 성과급 지급안 통과 [부동산360],https://n.news.naver.com/mnews/article/016/0002478951,놀람,0.9992245435714722
시행전,2025-05-30,"4월 주택 매매, 1년새 7000건 늘었다… 전월세는 1.7만건 감소",https://n.news.naver.com/mnews/article/417/0001080434,중립,0.9998314380645752
시행전,2025-05-30,불 꺼진 아파트 11년8개월 만에 최대…지방 어쩌나,https://n.news.naver.com/mnews/article/215/0001211121,중립,0.9262252449989319
시행전,2025-05-30,책준 1심 '전액 배상' 판결…신탁사 1.6조 줄소송 위기,https://n.news.naver.com/article/011/0004491864,중립,0.9995198249816895
시행전,2025-05-30,"“11인의 마스터가 함께 만든다”…포스코이앤씨, '오티에르 용산' 정조준",https://n.news.naver.com/article/277/0005601231,중립,0.9858239889144897
시행전,2025-05-30,"법원, 책임준공 손해배상 첫 인정…""준공기한 어긴 신탁사 전액배상""",https://n.news.naver.com/article/421/0008285914,중립,0.999953031539917
시행전,2025-05-30,"""층간소음 저감과 난방 에너지 절감, 동시에 잡는다""",https://n.news.naver.com/article/014/0005357247,중립,0.9995655417442322
시행전,2025-05-30,"HDC현대산업개발, 지속 가능한 복합개발 제시…용산정비창에 적용",https://n.news.naver.com/article/277/0005601218,중립,0.9999758005142212
시행전,2025-05-30,‘힐스테이트 용인마크밸리’ 선착순 계약,https://n.news.naver.com/article/032/0003373124,중립,0.9999645948410034
시행전,2025-05-30,"대방건설, ‘북수원이목지구 디에트르 더리체 Ⅱ’ 내일부터 잔여세대 선착순 분양",https://n.news.naver.com/article/277/0005601198,중립,0.9999617338180542
시행전,2025-05-30,대선 영향에 분양 시장 한산…서울만 '활기',https://n.news.naver.com/article/014/0005357231,행복,0.999729573726654
시행전,2025-05-30,"""요즘 살맛납니다"" 이제야 이름값 하는 이동네, 신바람난 주민들",https://n.news.naver.com/article/014/0005357227,행복,0.9997765421867371
시행전,2025-05-30,"""주차 빌런들 때문에 못 살겠다""…아파트 주민 불만 폭발 1위",https://n.news.naver.com/article/243/0000078861,혐오,0.9880542159080505
시행전,2025-05-30,층간소음보다 골머리…아파트 민원 1위는 '이것',https://n.news.naver.com/article/629/0000394723,분노,0.9810230135917664
시행전,2025-05-30,"한·일·중 감정평가사, 산업의 미래혁신 도모 회의…한국서 진행",https://n.news.naver.com/article/014/0005357224,중립,0.9999713897705078
시행전,2025-05-30,재건축 안전진단 문턱 낮췄지만… 수익 하락에 '속도 지연',https://n.news.naver.com/article/417/0001080397,중립,0.9956040382385254
시행전,2025-05-30,"수자원공사, SK하이닉스에 대규모 수력에너지 공급.. ""RE100 달성 지원""",https://n.news.naver.com/article/014/0005357223,중립,0.9999452829360962
시행전,2025-05-30,"자이(Xi), 앱기반 ‘미니창고 다락’서비스 도입…물품,  세대 외부에 맡긴다",https://n.news.naver.com/article/032/0003373116,중립,0.9999526739120483
시행전,2025-05-30,"DL이앤씨, ‘e편한세상 대장 퍼스티움’ 분양",https://n.news.naver.com/article/032/0003373115,행복,0.6722924113273621
시행전,2025-05-30,"대방건설, ‘북수원이목지구 디에트르 더리체 Ⅱ’ 31일 선착순 분양 시작!",https://n.news.naver.com/article/016/0002478922,중립,0.9997490048408508
시행전,2025-05-30,북수원이목지구 ‘디에트르 더리체Ⅱ’ 31일 잔여세대 선착순 분양… 대단지 브랜드타운 본격화,https://n.news.naver.com/article/014/0005357220,중립,0.9999619722366333
시행전,2025-05-30,[주목! 경매] 개포동 아파트 83.2㎡ 2회 유찰 17억 880만원,https://n.news.naver.com/article/417/0001080390,중립,0.9999659061431885
시행전,2025-05-30,"아파트 주민들 민원 2위는 소음, 3위는 흡연...1위는?",https://n.news.naver.com/article/009/0005501442,놀람,0.978076159954071
시행전,2025-05-30,"현대엔지니어링, HUG 신용도 세 단계 하락…실적 부진 영향",https://n.news.naver.com/article/243/0000078850,슬픔,0.8158007860183716
시행전,2025-05-30,제주 땅 2179만㎡ 외국인 소유…3년 만에 증가 전환,https://n.news.naver.com/article/421/0008285594,놀람,0.9968174695968628
시행전,2025-05-30,입주민 요청 전 GS건설이 먼저 점검…'디어 자이안' 캠페인,https://n.news.naver.com/article/421/0008285560,중립,0.9991325736045837
시행전,2025-05-30,GTX·SRT·트램 품은 동탄역 초역세권...‘디에트르 퍼스티지’ 오피스텔 무순위 청약,https://n.news.naver.com/article/011/0004491799,중립,0.9856609106063843
시행전,2025-05-30,'매달 25만원으로 13억 집 산다'...190만명 포기했는데 ‘반전’,https://n.news.naver.com/article/014/0005357184,중립,0.9074904918670654
시행전,2025-05-30,"""주택연금 경쟁력 강화로 가입률 높여야…대상 확대도 필요""",https://n.news.naver.com/article/001/0015422460,중립,0.9999731779098511
시행전,2025-05-30,곡소리 나는 중견 건설사…15곳 중 11곳은 미분양,https://n.news.naver.com/article/009/0005501399,슬픔,0.999763548374176
시행전,2025-05-30,수도권도 서울만 0.31% 국지적 상승…경기·인천 0.08% 떨어져,https://n.news.naver.com/article/421/0008285520,공포,0.6897770762443542
시행전,2025-05-30,[주간부동산시황] 세종·서울 아파트값 상승세지만…지방은 ‘찬바람’,https://n.news.naver.com/article/119/0002963157,중립,0.9870031476020813
시행전,2025-05-30,"""퍼스트 프리미엄 효과""… 신분평 더웨이시티 제일풍경채 분양",https://n.news.naver.com/article/417/0001080347,행복,0.8380341529846191
시행전,2025-05-30,"착공 34%, 분양 41% 급감...‘주택 공급 절벽' 우려 커진다",https://n.news.naver.com/article/025/0003444803,공포,0.9913129210472107
시행전,2025-05-30,"""압구정 재건축에 사활""… 현대건설, 시중은행과 금융 협력",https://n.news.naver.com/article/417/0001080345,중립,0.9999353885650635
시행전,2025-05-30,"‘서울원 흥행’ HDC현대산업개발, 매출 전망치 4.3조원 제시",https://n.news.naver.com/article/016/0002478883,중립,0.9998952150344849
시행전,2025-05-30,"GS건설, 디어 자이안 캠페인 본격화",https://n.news.naver.com/article/241/0003441365,중립,0.9999308586120605
시행전,2025-05-30,[주간분양] 대선 직전 분양시장 한산한데…서울은 3곳 잇따라 청약,https://n.news.naver.com/article/119/0002963151,중립,0.9964116215705872
시행전,2025-05-30,"'빚 많은 대기업' 41개 명단 나왔다… 금감원, 유진·부영 신규 편입",https://n.news.naver.com/article/417/0001080339,중립,0.9999575614929199
시행전,2025-05-30,"중견주택업체, 6월 전국 4512가구 분양",https://n.news.naver.com/article/016/0002478881,중립,0.9995265007019043
시행전,2025-05-30,5월 마지막주도 세종 집값 상승률 1등…다음주도 이어질까,https://n.news.naver.com/article/016/0002478879,중립,0.9999017715454102
시행전,2025-05-30,한강시네폴리스 개발 ‘착착’…공동주택 분양 ‘청신호’,https://n.news.naver.com/article/011/0004491776,행복,0.9990206956863403
시행전,2025-05-30,부천대장 첫 분양·동대구역 초역세권...DL이앤씨 야심찬 분양,https://n.news.naver.com/article/009/0005501387,중립,0.6454509496688843
시행전,2025-05-30,"중견주택업체, 다음 달 강원·대전 등에서 4512가구 분양",https://n.news.naver.com/article/366/0001081580,중립,0.9999405145645142
시행전,2025-05-30,대규모 개발지 첫 분양 단지…시범단지 효과 주목,https://n.news.naver.com/article/015/0005138825,중립,0.9999641180038452
시행전,2025-05-30,"삼성물산 ""압구정2구역에 최상의 금융조건 제공""...5대 은행과 파트너십",https://n.news.naver.com/article/014/0005357155,중립,0.9999511241912842
시행전,2025-05-30,"""압구정2에 최상의 금융조건 제공""…삼성물산, 5대 은행과 파트너십 체결",https://n.news.naver.com/article/421/0008285398,중립,0.6388460993766785
시행전,2025-05-30,"포스코이앤씨, 국내외 ‘11인의 마스터’와 함께 '오티에르 용산' 완성",https://n.news.naver.com/article/014/0005357150,중립,0.9233278632164001
시행전,2025-05-30,"""승리의 함성""…한화 임직원 단체 야구관람 '이글스 데이' 개최",https://n.news.naver.com/article/014/0005357144,행복,0.9999507665634155
시행전,2025-05-30,한강시네폴리스 개발 ‘착착’…공동주택 분양 ‘청신호’,https://n.news.naver.com/article/016/0002478863,행복,0.9990206956863403
