감정,기사제목,시기,날짜,수치,url,정부,카테고리,정책
놀람,대출 및 금융 규제 이후 중구 집값 보합,시행일,2024-06-28,0.867,https://news.example.com/article/1015,윤석열,대출 및 금융 규제,9·7
분노,시장 안정 대책 이후 중랑구 집값 상승,체감 반응,2024-11-01,0.529,https://news.example.com/article/1016,박근혜,시장 안정 대책,10·15
중립,대출 및 금융 규제 이후 서초구 집값 하락,시행 전,2025-06-10,0.766,https://news.example.com/article/1017,이재명,대출 및 금융 규제,6·27
분노,"이재명 정부, 대출 및 금융 규제 발표",초기 반응,2025-09-08,0.669,https://news.example.com/article/1018,이재명,대출 및 금융 규제,8·13
슬픔,"전문가 ""부동산 세제 개편, 시장에 미치는 영향은""",체감 반응,2025-05-03,0.573,https://news.example.com/article/1019,윤석열,부동산 세제 개편,9·7
중립,성북구 주민들 대출 및 금융 규제에 엇갈린 반응,초기 반응,2025-08-15,0.723,https://news.example.com/article/1020,윤석열,대출 및 금융 규제,9·7
중립,은평구 주민들 시장 안정 대책에 엇갈린 반응,초기 반응,2026-02-26,0.794,https://news.example.com/article/1021,문재인,시장 안정 대책,6·27
중립,"전문가 ""대출 및 금융 규제, 시장에 미치는 영향은""",시행 전,2025-04-15,0.535,https://news.example.com/article/1022,이재명,대출 및 금융 규제,9·7
공포,영등포구 주민들 대출 및 금융 규제에 엇갈린 반응,초기 반응,2024-05-23,0.697,https://news.example.com/article/1023,박근혜,대출 및 금융 규제,9·7
중립,시장 안정 대책 이후 강동구 집값 보합,시행일,2026-05-29,0.926,https://news.example.com/article/1024,윤석열,시장 안정 대책,9·7
슬픔,"박근혜 정부, 부동산 세제 개편 발표",시행일,2025-03-29,0.939,https://news.example.com/article/1025,박근혜,부동산 세제 개편,8·13
공포,서초구 주민들 부동산 세제 개편에 엇갈린 반응,초기 반응,2024-11-27,0.905,https://news.example.com/article/1026,윤석열,부동산 세제 개편,8·13
혐오,"이재명 정부, 주택 공급 대책 발표",시행 전,2025-07-30,0.978,https://news.example.com/article/1027,이재명,주택 공급 대책,9·7
분노,"국토부 ""부동산 세제 개편 효과 지켜봐야""",초기 반응,2024-11-08,0.876,https://news.example.com/article/1028,박근혜,부동산 세제 개편,10·15
중립,"국토부 ""시장 안정 대책 효과 지켜봐야""",시행일,2026-03-06,0.863,https://news.example.com/article/1029,박근혜,시장 안정 대책,6·27
공포,"윤석열 정부, 주택 공급 대책 발표",체감 반응,2025-03-20,0.629,https://news.example.com/article/1030,윤석열,주택 공급 대책,6·27
공포,대출 및 금융 규제 이후 금천구 집값 보합,시행 전,2025-10-13,0.878,https://news.example.com/article/1031,문재인,대출 및 금융 규제,8·13
공포,대출 및 금융 규제 이후 강서구 집값 상승,초기 반응,2024-07-24,0.508,https://news.example.com/article/1032,윤석열,대출 및 금융 규제,8·13
혐오,"전문가 ""시장 안정 대책, 시장에 미치는 영향은""",시행일,2026-04-03,0.77,https://news.example.com/article/1033,문재인,시장 안정 대책,8·13
슬픔,부동산 세제 개편 이후 중랑구 집값 상승,초기 반응,2026-05-22,0.65,https://news.example.com/article/1034,이재명,부동산 세제 개편,9·7
중립,"국토부 ""대출 및 금융 규제 효과 지켜봐야""",시행일,2024-10-22,0.788,https://news.example.com/article/1035,이재명,대출 및 금융 규제,9·7
혐오,"전문가 ""대출 및 금융 규제, 시장에 미치는 영향은""",시행 전,2026-03-15,0.818,https://news.example.com/article/1036,박근혜,대출 및 금융 규제,10·15
공포,강동구 주민들 대출 및 금융 규제에 엇갈린 반응,시행일,2024-08-18,0.648,https://news.example.com/article/1037,문재인,대출 및 금융 규제,8·13
놀람,강동구 주민들 부동산 세제 개편에 엇갈린 반응,시행일,2024-09-30,0.829,https://news.example.com/article/1038,이재명,부동산 세제 개편,6·27
놀람,"국토부 ""주택 공급 대책 효과 지켜봐야""",시행 전,2024-05-17,0.665,https://news.example.com/article/1039,문재인,주택 공급 대책,8·13
혐오,"박근혜 정부, 대출 및 금융 규제 발표",시행일,2025-11-28,0.949,https://news.example.com/article/1040,박근혜,대출 및 금융 규제,9·7
중립,"전문가 ""시장 안정 대책, 시장에 미치는 영향은""",초기 반응,2024-09-19,0.937,https://news.example.com/article/1041,윤석열,시장 안정 대책,6·27
놀람,"윤석열 정부, 대출 및 금융 규제 발표",시행 전,2025-04-16,0.511,https://news.example.com/article/1042,윤석열,대출 및 금융 규제,9·7
슬픔,부동산 세제 개편 이후 강서구 집값 상승,시행 전,2026-04-27,0.776,https://news.example.com/article/1043,문재인,부동산 세제 개편,10·15
중립,"전문가 ""부동산 세제 개편, 시장에 미치는 영향은""",시행일,2025-06-08,0.707,https://news.example.com/article/1044,박근혜,부동산 세제 개편,6·27
분노,"전문가 ""주택 공급 대책, 시장에 미치는 영향은""",시행 전,2024-10-06,0.73,https://news.example.com/article/1045,박근혜,주택 공급 대책,6·27
중립,시장 안정 대책 이후 노원구 집값 보합,시행일,2024-07-02,0.919,https://news.example.com/article/1046,이재명,시장 안정 대책,10·15
슬픔,금천구 주민들 시장 안정 대책에 엇갈린 반응,초기 반응,2024-07-17,0.544,https://news.example.com/article/1047,문재인,시장 안정 대책,9·7
공포,부동산 세제 개편 이후 강북구 집값 하락,시행일,2025-12-15,0.869,https://news.example.com/article/1048,박근혜,부동산 세제 개편,9·7
슬픔,주택 공급 대책 이후 강서구 집값 상승,초기 반응,2024-10-03,0.998,https://news.example.com/article/1049,이재명,주택 공급 대책,10·15
중립,"박근혜 정부, 시장 안정 대책 발표",체감 반응,2026-04-15,0.769,https://news.example.com/article/1050,박근혜,시장 안정 대책,10·15
분노,"문재인 정부, 주택 공급 대책 발표",시행일,2024-06-10,0.967,https://news.example.com/article/1051,문재인,주택 공급 대책,8·13
공포,"국토부 ""시장 안정 대책 효과 지켜봐야""",시행일,2024-05-23,0.755,https://news.example.com/article/1052,이재명,시장 안정 대책,10·15
중립,"전문가 ""주택 공급 대책, 시장에 미치는 영향은""",시행일,2025-06-04,0.543,https://news.example.com/article/1053,윤석열,주택 공급 대책,8·13
공포,"국토부 ""시장 안정 대책 효과 지켜봐야""",시행일,2024-12-23,0.859,https://news.example.com/article/1054,이재명,시장 안정 대책,6·27
중립,"문재인 정부, 주택 공급 대책 발표",체감 반응,2026-03-03,0.566,https://news.example.com/article/1055,문재인,주택 공급 대책,10·15
행복,"국토부 ""시장 안정 대책 효과 지켜봐야""",체감 반응,2024-09-21,0.753,https://news.example.com/article/1056,문재인,시장 안정 대책,9·7
공포,"이재명 정부, 대출 및 금융 규제 발표",초기 반응,2024-09-14,0.893,https://news.example.com/article/1057,이재명,대출 및 금융 규제,9·7
공포,시장 안정 대책 이후 도봉구 집값 상승,시행일,2025-12-20,0.891,https://news.example.com/article/1058,이재명,시장 안정 대책,9·7
분노,대출 및 금융 규제 이후 구로구 집값 보합,체감 반응,2024-11-10,0.817,https://news.example.com/article/1059,박근혜,대출 및 금융 규제,6·27
공포,대출 및 금융 규제 이후 관악구 집값 하락,체감 반응,2025-10-04,0.757,https://news.example.com/article/1060,박근혜,대출 및 금융 규제,6·27
공포,강서구 주민들 주택 공급 대책에 엇갈린 반응,체감 반응,2024-08-02,0.81,https://news.example.com/article/1061,이재명,주택 공급 대책,8·13
공포,"국토부 ""대출 및 금융 규제 효과 지켜봐야""",시행일,2024-12-12,0.518,https://news.example.com/article/1062,윤석열,대출 및 금융 규제,6·27
슬픔,"문재인 정부, 시장 안정 대책 발표",시행일,2025-05-30,0.867,https://news.example.com/article/1063,문재인,시장 안정 대책,10·15
놀람,"국토부 ""부동산 세제 개편 효과 지켜봐야""",초기 반응,2024-05-23,0.576,https://news.example.com/article/1064,이재명,부동산 세제 개편,8·13
슬픔,"문재인 정부, 부동산 세제 개편 발표",초기 반응,2024-05-30,0.933,https://news.example.com/article/1065,문재인,부동산 세제 개편,9·7
공포,"전문가 ""부동산 세제 개편, 시장에 미치는 영향은""",체감 반응,2025-05-31,0.823,https://news.example.com/article/1066,박근혜,부동산 세제 개편,6·27
혐오,"국토부 ""부동산 세제 개편 효과 지켜봐야""",체감 반응,2026-04-05,0.635,https://news.example.com/article/1067,윤석열,부동산 세제 개편,10·15
공포,주택 공급 대책 이후 중랑구 집값 하락,초기 반응,2026-04-10,0.524,https://news.example.com/article/1068,이재명,주택 공급 대책,9·7
분노,"이재명 정부, 주택 공급 대책 발표",시행 전,2025-03-29,0.524,https://news.example.com/article/1069,이재명,주택 공급 대책,6·27
슬픔,"국토부 ""대출 및 금융 규제 효과 지켜봐야""",시행 전,2026-04-14,0.943,https://news.example.com/article/1070,윤석열,대출 및 금융 규제,8·13
슬픔,"국토부 ""대출 및 금융 규제 효과 지켜봐야""",체감 반응,2024-10-04,0.878,https://news.example.com/article/1071,이재명,대출 및 금융 규제,6·27
놀람,"국토부 ""대출 및 금융 규제 효과 지켜봐야""",초기 반응,2024-05-15,0.628,https://news.example.com/article/1072,이재명,대출 및 금융 규제,6·27
공포,"윤석열 정부, 대출 및 금융 규제 발표",체감 반응,2025-08-16,0.724,https://news.example.com/article/1073,윤석열,대출 및 금융 규제,6·27
중립,"이재명 정부, 시장 안정 대책 발표",체감 반응,2024-09-07,0.863,https://news.example.com/article/1074,이재명,시장 안정 대책,8·13
놀람,"문재인 정부, 대출 및 금융 규제 발표",초기 반응,2025-08-28,0.84,https://news.example.com/article/1075,문재인,대출 및 금융 규제,6·27
행복,강서구 주민들 부동산 세제 개편에 엇갈린 반응,시행 전,2026-07-13,0.753,https://news.example.com/article/1076,이재명,부동산 세제 개편,10·15
슬픔,"국토부 ""부동산 세제 개편 효과 지켜봐야""",초기 반응,2025-04-11,0.81,https://news.example.com/article/1077,문재인,부동산 세제 개편,6·27
슬픔,"전문가 ""주택 공급 대책, 시장에 미치는 영향은""",시행일,2025-05-13,0.95,https://news.example.com/article/1078,이재명,주택 공급 대책,6·27
중립,"전문가 ""대출 및 금융 규제, 시장에 미치는 영향은""",체감 반응,2025-06-02,0.726,https://news.example.com/article/1079,문재인,대출 및 금융 규제,8·13
공포,"이재명 정부, 시장 안정 대책 발표",체감 반응,2024-07-07,0.909,https://news.example.com/article/1080,이재명,시장 안정 대책,10·15
분노,시장 안정 대책 이후 강남구 집값 하락,초기 반응,2026-03-18,0.841,https://news.example.com/article/1081,박근혜,시장 안정 대책,10·15
분노,"국토부 ""시장 안정 대책 효과 지켜봐야""",초기 반응,2024-10-21,0.734,https://news.example.com/article/1082,문재인,시장 안정 대책,8·13
분노,부동산 세제 개편 이후 구로구 집값 상승,체감 반응,2025-09-03,0.657,https://news.example.com/article/1083,이재명,부동산 세제 개편,6·27
슬픔,부동산 세제 개편 이후 강동구 집값 보합,시행 전,2025-12-17,0.521,https://news.example.com/article/1084,이재명,부동산 세제 개편,9·7
슬픔,"국토부 ""부동산 세제 개편 효과 지켜봐야""",시행 전,2024-07-11,0.994,https://news.example.com/article/1085,문재인,부동산 세제 개편,9·7
공포,중구 주민들 대출 및 금융 규제에 엇갈린 반응,초기 반응,2024-07-30,0.794,https://news.example.com/article/1086,윤석열,대출 및 금융 규제,6·27
혐오,"박근혜 정부, 대출 및 금융 규제 발표",체감 반응,2026-02-20,0.526,https://news.example.com/article/1087,박근혜,대출 및 금융 규제,8·13
분노,"전문가 ""시장 안정 대책, 시장에 미치는 영향은""",체감 반응,2026-05-29,0.594,https://news.example.com/article/1088,윤석열,시장 안정 대책,9·7
중립,"국토부 ""주택 공급 대책 효과 지켜봐야""",시행 전,2024-10-29,0.774,https://news.example.com/article/1089,이재명,주택 공급 대책,8·13
중립,"박근혜 정부, 부동산 세제 개편 발표",초기 반응,2024-10-25,0.601,https://news.example.com/article/1090,박근혜,부동산 세제 개편,6·27
분노,"문재인 정부, 부동산 세제 개편 발표",초기 반응,2025-05-28,0.917,https://news.example.com/article/1091,문재인,부동산 세제 개편,6·27
분노,"전문가 ""부동산 세제 개편, 시장에 미치는 영향은""",체감 반응,2025-11-15,0.759,https://news.example.com/article/1092,이재명,부동산 세제 개편,10·15
놀람,중랑구 주민들 대출 및 금융 규제에 엇갈린 반응,체감 반응,2024-10-31,0.677,https://news.example.com/article/1093,윤석열,대출 및 금융 규제,8·13
슬픔,영등포구 주민들 대출 및 금융 규제에 엇갈린 반응,초기 반응,2026-05-08,0.618,https://news.example.com/article/1094,이재명,대출 및 금융 규제,9·7
공포,"이재명 정부, 대출 및 금융 규제 발표",시행일,2024-07-08,0.519,https://news.example.com/article/1095,이재명,대출 및 금융 규제,6·27
놀람,성동구 주민들 부동산 세제 개편에 엇갈린 반응,시행 전,2026-01-17,0.975,https://news.example.com/article/1096,문재인,부동산 세제 개편,6·27
중립,시장 안정 대책 이후 광진구 집값 상승,체감 반응,2025-01-15,0.946,https://news.example.com/article/1097,윤석열,시장 안정 대책,8·13
혐오,시장 안정 대책 이후 관악구 집값 보합,시행일,2026-01-03,0.839,https://news.example.com/article/1098,박근혜,시장 안정 대책,8·13
행복,"박근혜 정부, 주택 공급 대책 발표",시행 전,2026-01-01,0.808,https://news.example.com/article/1099,박근혜,주택 공급 대책,6·27
분노,"국토부 ""시장 안정 대책 효과 지켜봐야""",시행 전,2024-05-30,0.577,https://news.example.com/article/1100,이재명,시장 안정 대책,9·7
중립,"전문가 ""대출 및 금융 규제, 시장에 미치는 영향은""",시행일,2025-07-30,0.538,https://news.example.com/article/1101,이재명,대출 및 금융 규제,9·7
공포,대출 및 금융 규제 이후 마포구 집값 하락,시행일,2026-04-22,0.571,https://news.example.com/article/1102,문재인,대출 및 금융 규제,9·7
행복,"전문가 ""대출 및 금융 규제, 시장에 미치는 영향은""",시행 전,2024-08-11,0.597,https://news.example.com/article/1103,이재명,대출 및 금융 규제,8·13
놀람,영등포구 주민들 부동산 세제 개편에 엇갈린 반응,시행일,2025-08-10,0.921,https://news.example.com/article/1104,윤석열,부동산 세제 개편,8·13
중립,"국토부 ""시장 안정 대책 효과 지켜봐야""",체감 반응,2024-12-12,0.837,https://news.example.com/article/1105,이재명,시장 안정 대책,6·27
행복,"국토부 ""부동산 세제 개편 효과 지켜봐야""",시행 전,2026-06-30,0.795,https://news.example.com/article/1106,윤석열,부동산 세제 개편,10·15
분노,"국토부 ""주택 공급 대책 효과 지켜봐야""",시행 전,2026-01-01,0.899,https://news.example.com/article/1107,박근혜,주택 공급 대책,10·15
중립,"전문가 ""부동산 세제 개편, 시장에 미치는 영향은""",초기 반응,2024-07-01,0.867,https://news.example.com/article/1108,윤석열,부동산 세제 개편,6·27
중립,"이재명 정부, 주택 공급 대책 발표",체감 반응,2025-12-24,0.82,https://news.example.com/article/1109,이재명,주택 공급 대책,8·13
공포,"국토부 ""주택 공급 대책 효과 지켜봐야""",초기 반응,2026-04-20,0.577,https://news.example.com/article/1110,윤석열,주택 공급 대책,10·15
중립,부동산 세제 개편 이후 동작구 집값 보합,체감 반응,2024-07-12,0.981,https://news.example.com/article/1111,윤석열,부동산 세제 개편,6·27
공포,시장 안정 대책 이후 강북구 집값 상승,초기 반응,2025-11-01,0.715,https://news.example.com/article/1112,이재명,시장 안정 대책,6·27
혐오,대출 및 금융 규제 이후 강남구 집값 하락,시행 전,2026-02-18,0.624,https://news.example.com/article/1113,이재명,대출 및 금융 규제,8·13
분노,주택 공급 대책 이후 동대문구 집값 상승,시행 전,2025-08-04,0.686,https://news.example.com/article/1114,문재인,주택 공급 대책,10·15
혐오,"문재인 정부, 주택 공급 대책 발표",시행 전,2025-04-22,0.76,https://news.example.com/article/1115,문재인,주택 공급 대책,10·15
놀람,"윤석열 정부, 시장 안정 대책 발표",시행 전,2024-11-16,0.989,https://news.example.com/article/1116,윤석열,시장 안정 대책,8·13
중립,시장 안정 대책 이후 동대문구 집값 상승,초기 반응,2024-07-16,0.502,https://news.example.com/article/1117,문재인,시장 안정 대책,10·15
공포,"국토부 ""대출 및 금융 규제 효과 지켜봐야""",시행일,2025-05-18,0.704,https://news.example.com/article/1118,박근혜,대출 및 금융 규제,6·27
슬픔,대출 및 금융 규제 이후 송파구 집값 상승,체감 반응,2025-04-16,0.641,https://news.example.com/article/1119,이재명,대출 및 금융 규제,6·27
슬픔,"전문가 ""부동산 세제 개편, 시장에 미치는 영향은""",체감 반응,2024-12-30,0.88,https://news.example.com/article/1120,박근혜,부동산 세제 개편,8·13
중립,관악구 주민들 부동산 세제 개편에 엇갈린 반응,체감 반응,2024-06-18,0.957,https://news.example.com/article/1121,박근혜,부동산 세제 개편,10·15
공포,"국토부 ""부동산 세제 개편 효과 지켜봐야""",시행일,2025-05-27,0.998,https://news.example.com/article/1122,문재인,부동산 세제 개편,9·7
중립,시장 안정 대책 이후 용산구 집값 상승,시행 전,2025-08-14,0.867,https://news.example.com/article/1123,박근혜,시장 안정 대책,10·15
공포,대출 및 금융 규제 이후 광진구 집값 하락,체감 반응,2026-02-03,0.95,https://news.example.com/article/1124,윤석열,대출 및 금융 규제,9·7
중립,"전문가 ""부동산 세제 개편, 시장에 미치는 영향은""",시행 전,2024-06-26,0.598,https://news.example.com/article/1125,박근혜,부동산 세제 개편,9·7
혐오,"국토부 ""부동산 세제 개편 효과 지켜봐야""",시행 전,2024-08-10,0.791,https://news.example.com/article/1126,박근혜,부동산 세제 개편,9·7
행복,부동산 세제 개편 이후 성동구 집값 상승,시행 전,2024-06-17,0.872,https://news.example.com/article/1127,윤석열,부동산 세제 개편,6·27
중립,"전문가 ""시장 안정 대책, 시장에 미치는 영향은""",시행일,2024-11-01,0.971,https://news.example.com/article/1128,박근혜,시장 안정 대책,9·7
분노,"전문가 ""대출 및 금융 규제, 시장에 미치는 영향은""",체감 반응,2026-02-11,0.649,https://news.example.com/article/1129,이재명,대출 및 금융 규제,6·27
놀람,대출 및 금융 규제 이후 성북구 집값 보합,시행일,2025-06-11,0.577,https://news.example.com/article/1130,윤석열,대출 및 금융 규제,8·13
공포,중구 주민들 부동산 세제 개편에 엇갈린 반응,체감 반응,2026-06-09,0.572,https://news.example.com/article/1131,박근혜,부동산 세제 개편,8·13
슬픔,"국토부 ""대출 및 금융 규제 효과 지켜봐야""",체감 반응,2025-10-12,0.788,https://news.example.com/article/1132,문재인,대출 및 금융 규제,8·13
분노,시장 안정 대책 이후 강동구 집값 상승,시행일,2025-03-04,0.567,https://news.example.com/article/1133,박근혜,시장 안정 대책,9·7
혐오,도봉구 주민들 주택 공급 대책에 엇갈린 반응,체감 반응,2025-02-16,0.949,https://news.example.com/article/1134,이재명,주택 공급 대책,10·15
놀람,부동산 세제 개편 이후 강북구 집값 상승,시행일,2026-05-21,0.53,https://news.example.com/article/1135,이재명,부동산 세제 개편,6·27
분노,"전문가 ""시장 안정 대책, 시장에 미치는 영향은""",초기 반응,2026-04-09,0.595,https://news.example.com/article/1136,이재명,시장 안정 대책,10·15
분노,"전문가 ""주택 공급 대책, 시장에 미치는 영향은""",체감 반응,2024-12-07,0.641,https://news.example.com/article/1137,문재인,주택 공급 대책,6·27
중립,"전문가 ""대출 및 금융 규제, 시장에 미치는 영향은""",초기 반응,2024-10-19,0.704,https://news.example.com/article/1138,문재인,대출 및 금융 규제,6·27
공포,영등포구 주민들 주택 공급 대책에 엇갈린 반응,초기 반응,2025-07-07,0.826,https://news.example.com/article/1139,윤석열,주택 공급 대책,8·13
슬픔,"이재명 정부, 대출 및 금융 규제 발표",시행 전,2025-03-10,0.856,https://news.example.com/article/1140,이재명,대출 및 금융 규제,6·27
놀람,대출 및 금융 규제 이후 관악구 집값 상승,체감 반응,2025-10-03,0.76,https://news.example.com/article/1141,윤석열,대출 및 금융 규제,6·27
중립,중구 주민들 부동산 세제 개편에 엇갈린 반응,체감 반응,2025-03-27,0.533,https://news.example.com/article/1142,윤석열,부동산 세제 개편,10·15
공포,대출 및 금융 규제 이후 종로구 집값 하락,시행일,2024-08-29,0.832,https://news.example.com/article/1143,윤석열,대출 및 금융 규제,6·27
중립,"국토부 ""부동산 세제 개편 효과 지켜봐야""",초기 반응,2024-05-30,0.53,https://news.example.com/article/1144,이재명,부동산 세제 개편,8·13
중립,은평구 주민들 주택 공급 대책에 엇갈린 반응,체감 반응,2025-06-27,0.903,https://news.example.com/article/1145,박근혜,주택 공급 대책,10·15
공포,대출 및 금융 규제 이후 강북구 집값 보합,체감 반응,2024-05-17,0.883,https://news.example.com/article/1146,이재명,대출 및 금융 규제,6·27
슬픔,"문재인 정부, 부동산 세제 개편 발표",시행 전,2025-09-25,0.622,https://news.example.com/article/1147,문재인,부동산 세제 개편,10·15
행복,"국토부 ""주택 공급 대책 효과 지켜봐야""",체감 반응,2025-05-10,0.942,https://news.example.com/article/1148,박근혜,주택 공급 대책,8·13
혐오,"박근혜 정부, 대출 및 금융 규제 발표",초기 반응,2026-03-21,0.932,https://news.example.com/article/1149,박근혜,대출 및 금융 규제,9·7
행복,중구 주민들 부동산 세제 개편에 엇갈린 반응,초기 반응,2026-01-17,0.835,https://news.example.com/article/1150,문재인,부동산 세제 개편,10·15
중립,"국토부 ""대출 및 금융 규제 효과 지켜봐야""",초기 반응,2025-11-17,0.655,https://news.example.com/article/1151,박근혜,대출 및 금융 규제,9·7
공포,시장 안정 대책 이후 강서구 집값 하락,시행일,2024-12-18,0.627,https://news.example.com/article/1152,박근혜,시장 안정 대책,6·27
공포,성동구 주민들 대출 및 금융 규제에 엇갈린 반응,시행 전,2026-02-03,0.879,https://news.example.com/article/1153,이재명,대출 및 금융 규제,6·27
슬픔,서대문구 주민들 시장 안정 대책에 엇갈린 반응,시행 전,2026-07-07,0.764,https://news.example.com/article/1154,문재인,시장 안정 대책,8·13
슬픔,강동구 주민들 부동산 세제 개편에 엇갈린 반응,초기 반응,2025-08-29,0.676,https://news.example.com/article/1155,윤석열,부동산 세제 개편,6·27
공포,"국토부 ""대출 및 금융 규제 효과 지켜봐야""",초기 반응,2026-02-21,0.938,https://news.example.com/article/1156,이재명,대출 및 금융 규제,9·7
혐오,부동산 세제 개편 이후 광진구 집값 보합,체감 반응,2025-02-13,0.691,https://news.example.com/article/1157,이재명,부동산 세제 개편,6·27
공포,주택 공급 대책 이후 강남구 집값 상승,초기 반응,2025-10-09,0.986,https://news.example.com/article/1158,윤석열,주택 공급 대책,10·15
놀람,"전문가 ""부동산 세제 개편, 시장에 미치는 영향은""",시행 전,2026-06-12,0.84,https://news.example.com/article/1159,박근혜,부동산 세제 개편,10·15
분노,대출 및 금융 규제 이후 종로구 집값 상승,초기 반응,2024-06-01,0.953,https://news.example.com/article/1160,윤석열,대출 및 금융 규제,8·13
중립,"전문가 ""시장 안정 대책, 시장에 미치는 영향은""",시행일,2024-09-09,0.686,https://news.example.com/article/1161,이재명,시장 안정 대책,10·15
중립,"전문가 ""주택 공급 대책, 시장에 미치는 영향은""",체감 반응,2025-01-07,0.715,https://news.example.com/article/1162,문재인,주택 공급 대책,9·7
중립,"국토부 ""시장 안정 대책 효과 지켜봐야""",시행일,2025-11-15,0.756,https://news.example.com/article/1163,이재명,시장 안정 대책,9·7
중립,"이재명 정부, 주택 공급 대책 발표",시행일,2024-05-21,0.797,https://news.example.com/article/1164,이재명,주택 공급 대책,10·15
중립,"이재명 정부, 대출 및 금융 규제 발표",초기 반응,2024-12-24,0.947,https://news.example.com/article/1165,이재명,대출 및 금융 규제,10·15
슬픔,주택 공급 대책 이후 강동구 집값 보합,시행일,2025-07-06,0.508,https://news.example.com/article/1166,박근혜,주택 공급 대책,10·15
공포,강북구 주민들 주택 공급 대책에 엇갈린 반응,시행일,2024-07-26,0.788,https://news.example.com/article/1167,문재인,주택 공급 대책,8·13
공포,"국토부 ""시장 안정 대책 효과 지켜봐야""",시행 전,2024-12-13,0.918,https://news.example.com/article/1168,윤석열,시장 안정 대책,9·7
혐오,서대문구 주민들 주택 공급 대책에 엇갈린 반응,시행 전,2026-01-09,0.997,https://news.example.com/article/1169,박근혜,주택 공급 대책,10·15
행복,강서구 주민들 시장 안정 대책에 엇갈린 반응,체감 반응,2026-03-17,0.749,https://news.example.com/article/1170,이재명,시장 안정 대책,6·27
공포,"전문가 ""시장 안정 대책, 시장에 미치는 영향은""",체감 반응,2026-05-22,0.854,https://news.example.com/article/1171,윤석열,시장 안정 대책,8·13
중립,대출 및 금융 규제 이후 성동구 집값 하락,시행일,2024-12-04,0.714,https://news.example.com/article/1172,이재명,대출 및 금융 규제,9·7
분노,동대문구 주민들 주택 공급 대책에 엇갈린 반응,체감 반응,2024-07-14,0.75,https://news.example.com/article/1173,문재인,주택 공급 대책,6·27
분노,"국토부 ""시장 안정 대책 효과 지켜봐야""",시행일,2024-09-01,0.52,https://news.example.com/article/1174,이재명,시장 안정 대책,6·27
중립,"국토부 ""대출 및 금융 규제 효과 지켜봐야""",시행일,2024-05-23,0.894,https://news.example.com/article/1175,이재명,대출 및 금융 규제,8·13
중립,"박근혜 정부, 부동산 세제 개편 발표",초기 반응,2026-06-08,0.758,https://news.example.com/article/1176,박근혜,부동산 세제 개편,10·15
혐오,"국토부 ""대출 및 금융 규제 효과 지켜봐야""",초기 반응,2024-09-08,0.899,https://news.example.com/article/1177,박근혜,대출 및 금융 규제,10·15
분노,마포구 주민들 대출 및 금융 규제에 엇갈린 반응,시행 전,2025-03-17,0.637,https://news.example.com/article/1178,문재인,대출 및 금융 규제,10·15
혐오,시장 안정 대책 이후 중구 집값 상승,시행 전,2025-02-11,0.749,https://news.example.com/article/1179,이재명,시장 안정 대책,8·13
