구,법정동,계약일자,전용면적,평형,거래금액,평단가,거래유형,정책여부,이상치여부
강남구,강남1동,2024-06-04,87.15,26,211958,8040.1,중개거래,정책전,False
강남구,강남1동,2024-06-26,18.0,5,43478,7985.0,중개거래,정책전,False
강남구,강남1동,2024-06-19,41.44,13,98676,7872.3,중개거래,정책전,False
강남구,강남1동,2024-06-12,32.47,10,78743,8016.4,직거래,정책전,False
강남구,강남1동,2024-06-04,49.32,15,117479,7874.9,중개거래,정책전,False
강남구,강남1동,2024-06-15,69.76,21,180064,8532.6,직거래,정책전,False
강남구,강남1동,2024-07-15,83.12,25,192127,7641.4,중개거래,정책전,False
강남구,강남1동,2024-07-21,18.0,5,42826,7865.2,직거래,정책전,False
강남구,강남1동,2024-07-17,103.22,31,241061,7720.3,중개거래,정책전,False
강남구,강남1동,2024-07-26,81.48,25,194518,7892.2,중개거래,정책전,False
강남구,강남1동,2024-07-24,101.58,31,228038,7420.9,중개거래,정책전,False
강남구,강남1동,2024-07-24,95.74,29,262880,9077.1,중개거래,정책전,False
강남구,강남1동,2024-07-02,65.83,20,171506,8612.4,중개거래,정책전,False
강남구,강남1동,2024-07-17,54.09,16,134779,8236.6,중개거래,정책전,False
강남구,강남1동,2024-07-05,56.32,17,125847,7386.3,중개거래,정책전,False
강남구,강남1동,2024-07-23,53.67,16,130230,8021.2,중개거래,정책전,False
강남구,강남2동,2024-07-02,100.86,31,260901,8551.0,중개거래,정책전,False
강남구,강남2동,2024-07-03,43.74,13,99100,7490.0,중개거래,정책전,False
강남구,강남2동,2024-07-23,68.6,21,150252,7240.3,중개거래,정책전,False
강남구,강남2동,2024-07-09,68.09,21,154285,7490.8,중개거래,정책전,False
강남구,강남2동,2024-07-22,60.05,18,141941,7814.1,중개거래,정책전,False
강남구,강남2동,2024-07-27,53.96,16,130416,7989.7,중개거래,정책전,False
강남구,강남2동,2024-07-24,54.26,16,131303,7999.2,중개거래,정책전,False
강남구,강남2동,2024-07-05,51.56,16,112854,7235.5,중개거래,정책전,True
강남구,강남1동,2024-08-10,78.79,24,174864,7336.6,중개거래,정책전,False
강남구,강남1동,2024-08-18,55.19,17,137973,8264.8,중개거래,정책전,False
강남구,강남1동,2024-08-03,73.62,22,159912,7181.1,중개거래,정책전,False
강남구,강남1동,2024-08-11,35.56,11,81723,7597.3,중개거래,정책전,False
강남구,강남1동,2024-08-17,45.02,14,100802,7401.6,중개거래,정책전,False
강남구,강남1동,2024-08-15,34.67,10,79042,7537.0,중개거래,정책전,False
강남구,강남1동,2024-08-17,82.11,25,199755,8042.6,중개거래,정책전,False
강남구,강남1동,2024-08-25,65.09,20,154175,7830.6,중개거래,정책전,False
강남구,강남1동,2024-08-22,18.0,5,41211,7568.6,중개거래,정책전,False
강남구,강남1동,2024-08-14,27.37,8,69420,8385.3,중개거래,정책전,False
강남구,강남1동,2024-08-18,47.58,14,116925,8123.6,중개거래,정책전,False
강남구,강남1동,2024-08-18,63.66,19,152023,7894.7,중개거래,정책전,False
강남구,강남1동,2024-08-08,56.05,17,131262,7741.8,중개거래,정책전,False
강남구,강남1동,2024-08-20,79.0,24,176449,7383.9,중개거래,정책전,False
강남구,강남2동,2024-08-11,85.19,26,184750,7169.1,중개거래,정책전,False
강남구,강남2동,2024-08-01,26.97,8,61103,7488.4,직거래,정책전,False
강남구,강남2동,2024-08-09,64.53,20,141395,7244.0,직거래,정책전,False
강남구,강남2동,2024-08-22,60.09,18,138426,7615.8,중개거래,정책전,False
강남구,강남2동,2024-08-23,61.76,19,151384,8102.4,직거래,정책전,False
강남구,강남2동,2024-08-13,69.6,21,158407,7523.7,중개거래,정책전,False
강남구,강남2동,2024-08-04,75.41,23,174430,7646.6,중개거래,정책전,False
강남구,강남2동,2024-08-05,53.68,16,125945,7755.7,중개거래,정책전,False
강남구,강남2동,2024-08-02,33.07,10,72193,7216.6,중개거래,정책전,False
강남구,강남2동,2024-08-27,45.43,14,111301,8098.2,중개거래,정책전,False
강남구,강남2동,2024-08-26,80.78,24,203479,8326.6,중개거래,정책전,False
강남구,강남2동,2024-08-15,43.61,13,109982,8336.9,직거래,정책전,False
강남구,강남2동,2024-08-18,47.11,14,102855,7217.2,중개거래,정책전,True
강남구,강남2동,2024-08-15,51.84,16,127327,8119.6,중개거래,정책전,False
강남구,강남2동,2024-09-17,37.6,11,88727,7799.9,중개거래,정책전,False
강남구,강남2동,2024-09-13,55.22,17,136763,8188.2,직거래,정책전,False
강남구,강남2동,2024-09-04,52.14,16,117906,7474.9,중개거래,정책전,False
강남구,강남2동,2024-09-05,52.37,16,134636,8498.7,중개거래,정책전,False
강남구,강남2동,2024-09-05,65.98,20,176207,8829.1,중개거래,정책전,False
강남구,강남1동,2024-09-25,18.0,5,41474,7616.9,중개거래,정책전,False
강남구,강남1동,2024-09-01,97.74,30,251185,8495.3,중개거래,정책전,False
강남구,강남1동,2024-09-15,65.95,20,157564,7897.5,중개거래,정책전,False
강남구,강남1동,2024-09-18,71.38,22,171113,7924.3,중개거래,정책전,False
강남구,강남1동,2024-09-15,36.16,11,88176,8060.9,중개거래,정책전,False
강남구,강남1동,2024-09-10,87.66,27,214653,8094.5,직거래,정책전,False
강남구,강남1동,2024-09-08,57.86,18,139874,7991.0,중개거래,정책전,False
강남구,강남1동,2024-09-22,41.97,13,105644,8321.3,중개거래,정책전,False
강남구,강남2동,2024-10-19,76.9,23,181407,7798.0,중개거래,정책전,False
강남구,강남2동,2024-10-04,48.13,15,131593,9038.4,중개거래,정책전,False
강남구,강남2동,2024-10-04,47.81,14,119543,8266.0,중개거래,정책전,False
강남구,강남2동,2024-10-20,60.99,18,148484,8048.2,중개거래,정책전,False
강남구,강남2동,2024-10-20,65.89,20,166362,8346.3,중개거래,정책전,False
강남구,강남2동,2024-10-05,91.58,28,213280,7699.0,중개거래,정책전,False
강남구,강남2동,2024-10-14,85.72,26,207603,8006.6,중개거래,정책전,False
강남구,강남1동,2024-10-13,27.68,8,69795,8334.1,중개거래,정책전,False
강남구,강남1동,2024-10-01,81.96,25,176922,7136.4,중개거래,정책전,False
강남구,강남1동,2024-10-03,42.48,13,105104,8180.1,중개거래,정책전,False
강남구,강남1동,2024-10-17,53.93,16,130832,8019.4,중개거래,정책전,False
강남구,강남1동,2024-10-02,73.14,22,184602,8344.0,중개거래,정책전,False
강남구,강남1동,2024-10-19,70.13,21,173944,8199.3,중개거래,정책전,False
강남구,강남1동,2024-10-24,52.86,16,124472,7784.6,직거래,정책전,False
강남구,강남2동,2024-11-12,45.94,14,113066,8135.8,중개거래,정책전,False
강남구,강남2동,2024-11-09,57.64,17,139885,8022.7,중개거래,정책전,False
강남구,강남2동,2024-11-22,62.8,19,139515,7344.5,중개거래,정책전,False
강남구,강남2동,2024-11-17,53.95,16,131582,8062.8,중개거래,정책전,False
강남구,강남2동,2024-11-13,35.87,11,84676,7803.1,중개거래,정책전,False
강남구,강남2동,2024-11-24,98.95,30,223117,7454.4,중개거래,정책전,False
강남구,강남2동,2024-11-03,63.71,19,164884,8555.7,중개거래,정책전,False
강남구,강남2동,2024-11-27,95.43,29,209761,7266.7,중개거래,정책전,False
강남구,강남1동,2024-11-10,25.29,8,62205,8131.8,중개거래,정책전,False
강남구,강남1동,2024-11-03,30.53,9,74753,8095.5,직거래,정책전,False
강남구,강남1동,2024-11-11,33.35,10,82730,8201.2,중개거래,정책전,False
강남구,강남1동,2024-11-02,88.02,27,206229,7745.1,중개거래,정책전,False
강남구,강남1동,2024-11-15,64.38,19,149454,7674.4,중개거래,정책전,False
강남구,강남1동,2024-11-01,50.77,15,129882,8457.5,중개거래,정책전,False
강남구,강남1동,2024-11-22,18.0,5,46585,8555.6,중개거래,정책전,False
강남구,강남1동,2024-11-24,20.26,6,47790,7796.6,중개거래,정책전,False
강남구,강남1동,2024-11-19,55.2,17,124893,7479.3,중개거래,정책전,False
강남구,강남1동,2024-11-03,29.11,9,72171,8195.4,직거래,정책전,False
강남구,강남1동,2024-11-15,62.44,19,147059,7785.9,중개거래,정책전,False
강남구,강남1동,2024-11-04,24.39,7,58898,7984.1,직거래,정책전,False
강남구,강남2동,2024-12-24,41.62,13,105537,8382.8,중개거래,정책전,False
강남구,강남2동,2024-12-10,25.16,8,63216,8305.8,중개거래,정책전,False
강남구,강남2동,2024-12-11,52.15,16,130635,8280.5,중개거래,정책전,False
강남구,강남1동,2024-12-07,66.75,20,166526,8246.7,중개거래,정책전,False
강남구,강남1동,2024-12-16,71.5,22,190492,8807.2,중개거래,정책전,False
강남구,강남1동,2024-12-19,48.98,15,120623,8140.7,중개거래,정책전,False
강남구,강남1동,2024-12-12,74.82,23,201527,8904.6,직거래,정책전,False
강남구,강남1동,2024-12-18,65.28,20,162238,8215.6,중개거래,정책전,False
강남구,강남1동,2024-12-08,18.0,5,43484,7986.1,중개거래,정책전,False
강남구,강남1동,2024-12-02,39.73,12,95552,7951.1,중개거래,정책전,False
강남구,강남1동,2024-12-24,81.26,25,201953,8215.9,중개거래,정책전,False
강남구,강남1동,2024-12-04,79.98,24,191796,7927.1,중개거래,정책전,False
강남구,강남1동,2024-12-07,70.17,21,174592,8225.1,중개거래,정책전,False
강남구,강남1동,2024-12-12,73.03,22,174614,7903.8,중개거래,정책전,False
강남구,강남2동,2025-01-14,74.35,22,171960,7646.2,중개거래,정책전,False
강남구,강남2동,2025-01-13,60.17,18,151304,8313.4,중개거래,정책전,False
강남구,강남2동,2025-01-26,64.56,20,159348,8159.1,중개거래,정책전,False
강남구,강남2동,2025-01-06,26.6,8,58011,7208.8,중개거래,정책전,False
강남구,강남2동,2025-01-19,82.75,25,192590,7693.4,중개거래,정책전,False
강남구,강남2동,2025-01-23,77.62,23,206774,8806.8,중개거래,정책전,False
강남구,강남2동,2025-01-08,51.57,16,120792,7743.8,직거래,정책전,False
강남구,강남2동,2025-01-07,38.7,12,104256,8906.0,직거래,정책전,False
강남구,강남2동,2025-01-05,81.72,25,191159,7732.8,중개거래,정책전,False
강남구,강남2동,2025-01-09,67.85,21,176314,8590.3,중개거래,정책전,False
강남구,강남1동,2025-01-23,47.88,14,109936,7591.0,중개거래,정책전,False
강남구,강남1동,2025-01-20,86.18,26,213713,8197.5,중개거래,정책전,False
강남구,강남1동,2025-01-19,59.24,18,146530,8176.7,중개거래,정책전,False
강남구,강남1동,2025-01-19,60.21,18,138089,7582.0,중개거래,정책전,False
강남구,강남1동,2025-02-06,66.83,20,150279,7434.2,중개거래,정책전,False
강남구,강남1동,2025-02-01,80.18,24,207272,8545.3,중개거래,정책전,False
강남구,강남1동,2025-02-15,42.1,13,98210,7711.9,중개거래,정책전,False
강남구,강남1동,2025-02-11,84.75,26,219816,8574.6,중개거래,정책전,False
강남구,강남1동,2025-02-25,34.12,10,82704,8013.9,중개거래,정책전,False
강남구,강남1동,2025-02-14,47.44,14,118253,8240.0,중개거래,정책전,False
강남구,강남1동,2025-02-18,46.44,14,116077,8263.1,중개거래,정책전,False
강남구,강남1동,2025-02-11,64.46,20,149955,7689.9,중개거래,정책전,False
강남구,강남1동,2025-02-10,87.76,27,203898,7681.0,중개거래,정책전,False
강남구,강남2동,2025-02-13,95.75,29,231920,8007.3,직거래,정책전,False
강남구,강남2동,2025-02-26,59.71,18,159544,8832.8,중개거래,정책전,False
강남구,강남2동,2025-02-24,66.31,20,188467,9395.9,중개거래,정책전,False
강남구,강남2동,2025-02-16,44.85,14,115642,8522.8,중개거래,정책전,False
강남구,강남2동,2025-02-26,77.17,23,190311,8152.3,중개거래,정책전,False
강남구,강남2동,2025-02-09,59.28,18,148352,8273.0,중개거래,정책전,False
강남구,강남2동,2025-02-19,72.33,22,169617,7752.1,중개거래,정책전,False
강남구,강남2동,2025-02-10,57.83,17,142982,8173.2,중개거래,정책전,False
강남구,강남2동,2025-02-08,32.16,10,77617,7979.3,중개거래,정책전,False
강남구,강남2동,2025-02-01,58.07,18,144919,8250.2,직거래,정책전,False
강남구,강남2동,2025-02-14,60.26,18,134757,7392.6,중개거래,정책전,False
강남구,강남2동,2025-02-09,58.75,18,143120,8052.7,직거래,정책전,False
강남구,강남2동,2025-03-27,47.85,14,116365,8040.0,중개거래,정책전,False
강남구,강남2동,2025-03-11,52.77,16,137522,8615.9,중개거래,정책전,False
강남구,강남2동,2025-03-16,68.58,21,157550,7594.7,중개거래,정책전,False
강남구,강남2동,2025-03-02,61.05,18,150387,8143.2,직거래,정책전,False
강남구,강남2동,2025-03-06,100.21,30,245903,8112.4,중개거래,정책전,False
강남구,강남2동,2025-03-17,60.4,18,142075,7776.2,중개거래,정책전,False
강남구,강남2동,2025-03-05,70.11,21,168728,7955.6,중개거래,정책전,False
강남구,강남2동,2025-03-15,82.15,25,217908,8768.8,중개거래,정책전,False
강남구,강남1동,2025-03-15,59.12,18,149840,8378.5,중개거래,정책전,False
강남구,강남1동,2025-03-11,91.95,28,231517,8323.7,중개거래,정책전,False
강남구,강남1동,2025-03-15,57.24,17,148446,8572.9,중개거래,정책전,False
강남구,강남1동,2025-03-25,63.23,19,163572,8551.6,중개거래,정책전,False
강남구,강남1동,2025-03-17,64.79,20,157977,8060.9,중개거래,정책전,False
강남구,강남1동,2025-03-23,18.0,5,45480,8352.7,중개거래,정책전,False
강남구,강남1동,2025-03-21,68.04,21,172672,8390.0,중개거래,정책전,False
강남구,강남1동,2025-03-02,44.76,14,118371,8742.8,중개거래,정책전,False
강남구,강남1동,2025-03-22,58.96,18,149154,8362.6,중개거래,정책전,False
강남구,강남1동,2025-03-08,61.62,19,145494,7805.4,중개거래,정책전,False
강남구,강남2동,2025-04-08,38.17,12,97877,8477.3,중개거래,정책전,False
강남구,강남2동,2025-04-17,30.66,9,76209,8216.1,중개거래,정책전,False
강남구,강남2동,2025-04-26,63.59,19,160261,8331.4,중개거래,정책전,False
강남구,강남2동,2025-04-08,71.64,22,162229,7486.0,중개거래,정책전,False
강남구,강남2동,2025-04-25,71.09,22,170335,7921.3,중개거래,정책전,False
강남구,강남2동,2025-04-20,76.41,23,199365,8625.2,중개거래,정책전,False
강남구,강남2동,2025-04-10,56.81,17,140564,8180.2,중개거래,정책전,False
강남구,강남1동,2025-04-20,72.4,22,172862,7892.7,중개거래,정책전,False
강남구,강남1동,2025-04-18,34.3,10,89351,8610.6,중개거래,정책전,False
강남구,강남1동,2025-04-25,25.9,8,59759,7628.0,중개거래,정책전,False
강남구,강남1동,2025-04-19,53.52,16,128032,7907.8,중개거래,정책전,False
강남구,강남1동,2025-04-21,65.8,20,162527,8165.7,중개거래,정책전,False
강남구,강남1동,2025-04-06,18.0,5,42998,7896.8,중개거래,정책전,False
강남구,강남1동,2025-04-02,59.72,18,145229,8039.0,직거래,정책전,False
강남구,강남1동,2025-04-09,63.06,19,149602,7843.2,중개거래,정책전,False
강남구,강남1동,2025-05-18,88.44,27,220076,8226.2,중개거래,정책전,False
강남구,강남1동,2025-05-08,67.89,21,166487,8106.3,중개거래,정책전,False
강남구,강남1동,2025-05-16,49.87,15,129953,8614.3,중개거래,정책전,False
강남구,강남1동,2025-05-05,37.56,11,94836,8346.7,중개거래,정책전,False
강남구,강남1동,2025-05-17,57.45,17,140586,8089.2,중개거래,정책전,False
강남구,강남1동,2025-05-04,27.14,8,64098,7806.3,중개거래,정책전,False
강남구,강남1동,2025-05-24,85.38,26,239595,9276.8,직거래,정책전,False
강남구,강남1동,2025-05-26,63.88,19,156649,8107.2,중개거래,정책전,False
강남구,강남1동,2025-05-07,60.24,18,149614,8210.6,중개거래,정책전,False
강남구,강남1동,2025-05-18,28.13,9,71685,8425.1,중개거래,정책전,False
강남구,강남1동,2025-05-08,47.08,14,116355,8170.4,중개거래,정책전,False
강남구,강남1동,2025-05-19,45.88,14,120067,8651.4,중개거래,정책전,False
강남구,강남1동,2025-05-09,68.89,21,178212,8551.7,중개거래,정책전,False
강남구,강남1동,2025-05-09,71.28,22,181199,8403.4,중개거래,정책전,False
강남구,강남1동,2025-05-19,37.05,11,94643,8443.8,중개거래,정책전,False
강남구,강남1동,2025-05-23,85.07,26,218711,8498.9,중개거래,정책전,False
강남구,강남1동,2025-05-06,53.57,16,124960,7711.8,중개거래,정책전,False
강남구,강남1동,2025-05-25,60.58,18,157870,8614.9,중개거래,정책전,False
강남구,강남2동,2025-05-03,44.0,13,107471,8073.8,중개거래,정책전,False
강남구,강남2동,2025-05-01,94.43,29,232171,8128.1,중개거래,정책전,False
강남구,강남2동,2025-05-15,18.0,5,42546,7813.8,중개거래,정책전,False
강남구,강남2동,2025-06-11,68.46,21,184346,8901.5,중개거래,정책전,False
강남구,강남2동,2025-06-19,79.6,24,219755,9126.0,중개거래,정책전,False
강남구,강남2동,2025-06-27,47.77,14,134808,9329.0,중개거래,정책전,True
강남구,강남2동,2025-06-26,59.03,18,172042,9635.2,중개거래,정책전,True
강남구,강남2동,2025-06-24,35.26,11,95029,8909.8,중개거래,정책전,False
강남구,강남2동,2025-06-21,28.85,9,75622,8664.2,중개거래,정책전,False
강남구,강남2동,2025-06-15,95.03,29,255587,8890.6,중개거래,정책전,False
강남구,강남2동,2025-06-17,36.02,11,90421,8299.5,중개거래,정책전,False
강남구,강남2동,2025-06-08,57.3,17,145972,8421.1,중개거래,정책전,False
강남구,강남2동,2025-06-04,61.97,19,172431,9198.0,중개거래,정책전,False
강남구,강남2동,2025-06-15,76.09,23,201114,8737.2,중개거래,정책전,False
강남구,강남2동,2025-06-17,58.79,18,151326,8509.6,중개거래,정책전,False
강남구,강남2동,2025-06-25,71.26,22,193951,8997.6,중개거래,정책전,False
강남구,강남2동,2025-06-13,79.15,24,214334,8951.9,중개거래,정책전,False
강남구,강남2동,2025-06-02,98.21,30,254546,8568.2,중개거래,정책전,False
강남구,강남2동,2025-06-12,88.7,27,231693,8635.2,중개거래,정책전,False
강남구,강남1동,2025-06-06,64.95,20,184756,9403.6,중개거래,정책전,False
강남구,강남1동,2025-06-19,55.28,17,146679,8771.4,중개거래,정책전,False
강남구,강남1동,2025-06-03,22.79,7,56280,8164.5,중개거래,정책전,False
강남구,강남1동,2025-06-03,85.5,26,233695,9035.8,중개거래,정책전,False
강남구,강남1동,2025-06-23,74.65,23,196404,8697.4,중개거래,정책전,False
강남구,강남1동,2025-06-03,73.57,22,196421,8825.5,중개거래,정책전,False
강남구,강남1동,2025-06-16,48.01,15,125036,8609.7,중개거래,정책전,False
강남구,강남1동,2025-06-22,60.73,18,168689,9182.5,중개거래,정책전,False
강남구,강남1동,2025-06-16,70.41,21,198029,9297.5,중개거래,정책전,False
강남구,강남1동,2025-07-09,58.23,18,160696,9123.1,중개거래,정책후,False
강남구,강남1동,2025-07-05,60.95,18,161325,8750.2,중개거래,정책후,False
강남구,강남1동,2025-07-15,58.01,18,147227,8390.2,직거래,정책후,False
강남구,강남1동,2025-07-23,72.0,22,188851,8670.3,중개거래,정책후,False
강남구,강남1동,2025-07-03,87.99,27,220584,8287.7,중개거래,정책후,False
강남구,강남1동,2025-07-25,59.47,18,147487,8198.9,중개거래,정책후,False
강남구,강남1동,2025-07-10,66.27,20,167392,8349.7,직거래,정책후,False
강남구,강남2동,2025-07-21,62.39,19,155945,8262.4,중개거래,정책후,False
강남구,강남2동,2025-07-07,18.0,5,46487,8537.6,직거래,정책후,False
강남구,강남2동,2025-07-27,45.77,14,110470,7978.6,중개거래,정책후,False
강남구,강남2동,2025-08-26,95.72,29,238559,8238.5,중개거래,정책후,False
강남구,강남2동,2025-08-15,82.81,25,200852,8018.2,중개거래,정책후,False
강남구,강남2동,2025-08-04,58.56,18,136411,7701.3,중개거래,정책후,False
강남구,강남2동,2025-08-02,64.86,20,150894,7691.0,중개거래,정책후,False
강남구,강남2동,2025-08-06,73.84,22,169240,7576.8,직거래,정책후,False
강남구,강남2동,2025-08-03,64.4,19,165231,8481.4,직거래,정책후,False
강남구,강남1동,2025-08-15,44.35,13,116468,8680.6,중개거래,정책후,False
강남구,강남1동,2025-08-25,70.25,21,165920,7808.3,중개거래,정책후,False
강남구,강남1동,2025-08-26,73.44,22,201585,9074.4,중개거래,정책후,False
강남구,강남1동,2025-08-05,48.86,15,120550,8156.6,중개거래,정책후,False
강남구,강남2동,2025-09-11,66.29,20,170753,8515.2,직거래,정책후,False
강남구,강남2동,2025-09-15,88.47,27,234972,8779.8,중개거래,정책후,False
강남구,강남2동,2025-09-08,52.65,16,131085,8230.4,중개거래,정책후,False
강남구,강남2동,2025-09-10,83.98,25,199820,7866.2,중개거래,정책후,False
강남구,강남2동,2025-09-23,40.68,12,98823,8030.0,중개거래,정책후,False
강남구,강남2동,2025-09-17,68.24,21,155989,7556.2,직거래,정책후,False
강남구,강남2동,2025-09-18,71.05,21,176748,8223.3,직거래,정책후,False
강남구,강남2동,2025-09-26,82.65,25,204201,8167.5,중개거래,정책후,False
강남구,강남1동,2025-09-17,103.59,31,272257,8688.7,중개거래,정책후,False
강남구,강남1동,2025-09-26,54.66,17,135783,8212.7,중개거래,정책후,False
강남구,강남1동,2025-09-05,87.02,26,220260,8367.1,중개거래,정책후,False
강남구,강남1동,2025-09-19,77.42,23,200340,8554.1,중개거래,정책후,False
강남구,강남1동,2025-09-23,53.58,16,128507,7928.5,중개거래,정책후,False
강남구,강남2동,2025-10-14,105.52,32,287086,8994.4,직거래,정책후,False
강남구,강남2동,2025-10-22,47.14,14,117870,8266.7,중개거래,정책후,False
강남구,강남2동,2025-10-23,51.1,15,138718,8974.9,중개거래,정책후,False
강남구,강남2동,2025-10-09,104.99,32,267773,8431.2,중개거래,정책후,False
강남구,강남1동,2025-10-10,58.73,18,133288,7502.3,직거래,정책후,False
강남구,강남1동,2025-10-03,55.74,17,155529,9223.4,중개거래,정책후,True
강남구,강남1동,2025-10-26,93.12,28,241485,8573.1,중개거래,정책후,False
강남구,강남1동,2025-10-05,61.29,19,158071,8525.6,중개거래,정책후,False
강남구,강남1동,2025-10-20,76.56,23,181870,7852.9,중개거래,정책후,False
강남구,강남1동,2025-10-11,62.57,19,154305,8151.9,중개거래,정책후,False
강남구,강남2동,2025-11-02,58.14,18,159285,9057.3,중개거래,정책후,False
강남구,강남2동,2025-11-19,60.36,18,154915,8484.6,중개거래,정책후,False
강남구,강남2동,2025-11-09,25.35,8,64049,8351.3,직거래,정책후,False
강남구,강남2동,2025-11-01,85.24,26,209984,8143.6,직거래,정책후,False
강남구,강남2동,2025-11-24,18.0,5,44516,8175.6,직거래,정책후,False
강남구,강남2동,2025-11-21,50.51,15,132844,8694.3,중개거래,정책후,False
강남구,강남1동,2025-11-03,56.9,17,151588,8806.9,직거래,정책후,False
강남구,강남1동,2025-11-17,23.39,7,56244,7950.8,중개거래,정책후,False
강남구,강남1동,2025-11-09,27.66,8,66783,7981.9,직거래,정책후,False
강남구,강남1동,2025-11-01,51.69,16,120784,7724.6,중개거래,정책후,False
강남구,강남1동,2025-11-19,74.43,23,193355,8587.8,중개거래,정책후,False
강남구,강남1동,2025-11-09,51.16,15,128809,8323.4,중개거래,정책후,False
강남구,강남1동,2025-11-19,40.2,12,97484,8017.4,직거래,정책후,False
강남구,강남1동,2025-11-27,62.24,19,161099,8556.4,중개거래,정책후,False
강남구,강남1동,2025-12-21,82.79,25,208762,8335.6,중개거래,정책후,False
강남구,강남1동,2025-12-10,44.94,14,113494,8348.9,중개거래,정책후,False
강남구,강남2동,2025-12-21,84.29,25,199760,7834.4,중개거래,정책후,False
강남구,강남2동,2025-12-06,86.16,26,224067,8596.8,직거래,정책후,False
강남구,강남2동,2025-12-22,51.32,16,132120,8509.9,중개거래,정책후,False
강남구,강남2동,2025-12-01,58.15,18,148231,8427.1,중개거래,정책후,False
강남구,강남2동,2025-12-26,117.28,35,272973,7694.0,중개거래,정책후,False
강남구,강남2동,2025-12-22,43.8,13,114255,8624.1,중개거래,정책후,False
강남구,강남2동,2025-12-18,82.51,25,211456,8472.1,직거래,정책후,False
강남구,강남2동,2026-01-19,29.16,9,72267,8193.3,중개거래,정책후,False
강남구,강남2동,2026-01-14,55.43,17,132422,7898.0,직거래,정책후,False
강남구,강남2동,2026-01-08,84.46,26,214198,8384.0,중개거래,정책후,False
강남구,강남2동,2026-01-19,27.66,8,69653,8325.7,직거래,정책후,False
강남구,강남2동,2026-01-05,74.04,22,184160,8223.0,중개거래,정책후,False
강남구,강남2동,2026-01-27,56.95,17,153015,8882.6,직거래,정책후,False
강남구,강남2동,2026-01-17,45.08,14,112637,8260.7,중개거래,정책후,False
강남구,강남1동,2026-01-24,38.49,12,92681,7959.7,중개거래,정책후,False
강남구,강남1동,2026-01-23,46.21,14,117770,8425.1,중개거래,정책후,False
강남구,강남1동,2026-01-24,56.17,17,144722,8517.1,중개거래,정책후,False
강남구,강남1동,2026-01-07,27.55,8,63554,7626.2,직거래,정책후,False
강남구,강남1동,2026-01-21,34.02,10,85765,8334.3,중개거래,정책후,False
강남구,강남1동,2026-01-12,106.49,32,241142,7485.7,직거래,정책후,False
강남구,강남2동,2026-02-18,71.13,22,169772,7890.7,중개거래,정책후,False
강남구,강남2동,2026-02-02,31.05,9,76612,8157.6,중개거래,정책후,False
강남구,강남2동,2026-02-27,60.95,18,148386,8047.9,중개거래,정책후,False
강남구,강남2동,2026-02-12,60.47,18,154269,8434.3,중개거래,정책후,False
강남구,강남2동,2026-02-24,54.71,17,129917,7849.8,중개거래,정책후,False
강남구,강남2동,2026-02-02,77.29,23,184215,7878.9,중개거래,정책후,False
