감정,기사제목,시기,날짜,수치,url,정부,카테고리,정책
중립,"전문가 ""부동산 세제 개편, 시장에 미치는 영향은""",시행일,2025-06-08,0.707,https://news.example.com/article/1044,박근혜,부동산 세제 개편,6·27
중립,시장 안정 대책 이후 노원구 집값 보합,시행일,2024-07-02,0.919,https://news.example.com/article/1046,이재명,시장 안정 대책,10·15
공포,부동산 세제 개편 이후 강북구 집값 하락,시행일,2025-12-15,0.869,https://news.example.com/article/1048,박근혜,부동산 세제 개편,9·7
중립,"박근혜 정부, 시장 안정 대책 발표",체감 반응,2026-04-15,0.769,https://news.example.com/article/1050,박근혜,시장 안정 대책,10·15
공포,"국토부 ""시장 안정 대책 효과 지켜봐야""",시행일,2024-05-23,0.755,https://news.example.com/article/1052,이재명,시장 안정 대책,10·15
공포,"국토부 ""시장 안정 대책 효과 지켜봐야""",시행일,2024-12-23,0.859,https://news.example.com/article/1054,이재명,시장 안정 대책,6·27
행복,"국토부 ""시장 안정 대책 효과 지켜봐야""",체감 반응,2024-09-21,0.753,https://news.example.com/article/1056,문재인,시장 안정 대책,9·7
공포,시장 안정 대책 이후 도봉구 집값 상승,시행일,2025-12-20,0.891,https://news.example.com/article/1058,이재명,시장 안정 대책,9·7
공포,대출 및 금융 규제 이후 관악구 집값 하락,체감 반응,2025-10-04,0.757,https://news.example.com/article/1060,박근혜,대출 및 금융 규제,6·27
공포,"국토부 ""대출 및 금융 규제 효과 지켜봐야""",시행일,2024-12-12,0.518,https://news.example.com/article/1062,윤석열,대출 및 금융 규제,6·27
놀람,"국토부 ""부동산 세제 개편 효과 지켜봐야""",초기 반응,2024-05-23,0.576,https://news.example.com/article/1064,이재명,부동산 세제 개편,8·13
공포,"전문가 ""부동산 세제 개편, 시장에 미치는 영향은""",체감 반응,2025-05-31,0.823,https://news.example.com/article/1066,박근혜,부동산 세제 개편,6·27
공포,주택 공급 대책 이후 중랑구 집값 하락,초기 반응,2026-04-10,0.524,https://news.example.com/article/1068,이재명,주택 공급 대책,9·7
슬픔,"국토부 ""대출 및 금융 규제 효과 지켜봐야""",시행 전,2026-04-14,0.943,https://news.example.com/article/1070,윤석열,대출 및 금융 규제,8·13
놀람,"국토부 ""대출 및 금융 규제 효과 지켜봐야""",초기 반응,2024-05-15,0.628,https://news.example.com/article/1072,이재명,대출 및 금융 규제,6·27
중립,"이재명 정부, 시장 안정 대책 발표",체감 반응,2024-09-07,0.863,https://news.example.com/article/1074,이재명,시장 안정 대책,8·13
행복,강서구 주민들 부동산 세제 개편에 엇갈린 반응,시행 전,2026-07-13,0.753,https://news.example.com/article/1076,이재명,부동산 세제 개편,10·15
슬픔,"전문가 ""주택 공급 대책, 시장에 미치는 영향은""",시행일,2025-05-13,0.95,https://news.example.com/article/1078,이재명,주택 공급 대책,6·27
공포,"이재명 정부, 시장 안정 대책 발표",체감 반응,2024-07-07,0.909,https://news.example.com/article/1080,이재명,시장 안정 대책,10·15
분노,"국토부 ""시장 안정 대책 효과 지켜봐야""",초기 반응,2024-10-21,0.734,https://news.example.com/article/1082,문재인,시장 안정 대책,8·13
슬픔,부동산 세제 개편 이후 강동구 집값 보합,시행 전,2025-12-17,0.521,https://news.example.com/article/1084,이재명,부동산 세제 개편,9·7
공포,중구 주민들 대출 및 금융 규제에 엇갈린 반응,초기 반응,2024-07-30,0.794,https://news.example.com/article/1086,윤석열,대출 및 금융 규제,6·27
분노,"전문가 ""시장 안정 대책, 시장에 미치는 영향은""",체감 반응,2026-05-29,0.594,https://news.example.com/article/1088,윤석열,시장 안정 대책,9·7
중립,"박근혜 정부, 부동산 세제 개편 발표",초기 반응,2024-10-25,0.601,https://news.example.com/article/1090,박근혜,부동산 세제 개편,6·27
분노,"전문가 ""부동산 세제 개편, 시장에 미치는 영향은""",체감 반응,2025-11-15,0.759,https://news.example.com/article/1092,이재명,부동산 세제 개편,10·15
슬픔,영등포구 주민들 대출 및 금융 규제에 엇갈린 반응,초기 반응,2026-05-08,0.618,https://news.example.com/article/1094,이재명,대출 및 금융 규제,9·7
놀람,성동구 주민들 부동산 세제 개편에 엇갈린 반응,시행 전,2026-01-17,0.975,https://news.example.com/article/1096,문재인,부동산 세제 개편,6·27
혐오,시장 안정 대책 이후 관악구 집값 보합,시행일,2026-01-03,0.839,https://news.example.com/article/1098,박근혜,시장 안정 대책,8·13
분노,"국토부 ""시장 안정 대책 효과 지켜봐야""",시행 전,2024-05-30,0.577,https://news.example.com/article/1100,이재명,시장 안정 대책,9·7
공포,대출 및 금융 규제 이후 마포구 집값 하락,시행일,2026-04-22,0.571,https://news.example.com/article/1102,문재인,대출 및 금융 규제,9·7
놀람,영등포구 주민들 부동산 세제 개편에 엇갈린 반응,시행일,2025-08-10,0.921,https://news.example.com/article/1104,윤석열,부동산 세제 개편,8·13
행복,"국토부 ""부동산 세제 개편 효과 지켜봐야""",시행 전,2026-06-30,0.795,https://news.example.com/article/1106,윤석열,부동산 세제 개편,10·15
중립,"전문가 ""부동산 세제 개편, 시장에 미치는 영향은""",초기 반응,2024-07-01,0.867,https://news.example.com/article/1108,윤석열,부동산 세제 개편,6·27
공포,"국토부 ""주택 공급 대책 효과 지켜봐야""",초기 반응,2026-04-20,0.577,https://news.example.com/article/1110,윤석열,주택 공급 대책,10·15
공포,시장 안정 대책 이후 강북구 집값 상승,초기 반응,2025-11-01,0.715,https://news.example.com/article/1112,이재명,시장 안정 대책,6·27
분노,주택 공급 대책 이후 동대문구 집값 상승,시행 전,2025-08-04,0.686,https://news.example.com/article/1114,문재인,주택 공급 대책,10·15
놀람,"윤석열 정부, 시장 안정 대책 발표",시행 전,2024-11-16,0.989,https://news.example.com/article/1116,윤석열,시장 안정 대책,8·13
공포,"국토부 ""대출 및 금융 규제 효과 지켜봐야""",시행일,2025-05-18,0.704,https://news.example.com/article/1118,박근혜,대출 및 금융 규제,6·27
슬픔,"전문가 ""부동산 세제 개편, 시장에 미치는 영향은""",체감 반응,2024-12-30,0.88,https://news.example.com/article/1120,박근혜,부동산 세제 개편,8·13
공포,"국토부 ""부동산 세제 개편 효과 지켜봐야""",시행일,2025-05-27,0.998,https://news.example.com/article/1122,문재인,부동산 세제 개편,9·7
공포,대출 및 금융 규제 이후 광진구 집값 하락,체감 반응,2026-02-03,0.95,https://news.example.com/article/1124,윤석열,대출 및 금융 규제,9·7
혐오,"국토부 ""부동산 세제 개편 효과 지켜봐야""",시행 전,2024-08-10,0.791,https://news.example.com/article/1126,박근혜,부동산 세제 개편,9·7
중립,"전문가 ""시장 안정 대책, 시장에 미치는 영향은""",시행일,2024-11-01,0.971,https://news.example.com/article/1128,박근혜,시장 안정 대책,9·7
놀람,대출 및 금융 규제 이후 성북구 집값 보합,시행일,2025-06-11,0.577,https://news.example.com/article/1130,윤석열,대출 및 금융 규제,8·13
슬픔,"국토부 ""대출 및 금융 규제 효과 지켜봐야""",체감 반응,2025-10-12,0.788,https://news.example.com/article/1132,문재인,대출 및 금융 규제,8·13
혐오,도봉구 주민들 주택 공급 대책에 엇갈린 반응,체감 반응,2025-02-16,0.949,https://news.example.com/article/1134,이재명,주택 공급 대책,10·15
분노,"전문가 ""시장 안정 대책, 시장에 미치는 영향은""",초기 반응,2026-04-09,0.595,https://news.example.com/article/1136,이재명,시장 안정 대책,10·15
중립,"전문가 ""대출 및 금융 규제, 시장에 미치는 영향은""",초기 반응,2024-10-19,0.704,https://news.example.com/article/1138,문재인,대출 및 금융 규제,6·27
슬픔,"이재명 정부, 대출 및 금융 규제 발표",시행 전,2025-03-10,0.856,https://news.example.com/article/1140,이재명,대출 및 금융 규제,6·27
중립,중구 주민들 부동산 세제 개편에 엇갈린 반응,체감 반응,2025-03-27,0.533,https://news.example.com/article/1142,윤석열,부동산 세제 개편,10·15
중립,"국토부 ""부동산 세제 개편 효과 지켜봐야""",초기 반응,2024-05-30,0.53,https://news.example.com/article/1144,이재명,부동산 세제 개편,8·13
공포,대출 및 금융 규제 이후 강북구 집값 보합,체감 반응,2024-05-17,0.883,https://news.example.com/article/1146,이재명,대출 및 금융 규제,6·27
행복,"국토부 ""주택 공급 대책 효과 지켜봐야""",체감 반응,2025-05-10,0.942,https://news.example.com/article/1148,박근혜,주택 공급 대책,8·13
행복,중구 주민들 부동산 세제 개편에 엇갈린 반응,초기 반응,2026-01-17,0.835,https://news.example.com/article/1150,문재인,부동산 세제 개편,10·15
공포,시장 안정 대책 이후 강서구 집값 하락,시행일,2024-12-18,0.627,https://news.example.com/article/1152,박근혜,시장 안정 대책,6·27
슬픔,서대문구 주민들 시장 안정 대책에 엇갈린 반응,시행 전,2026-07-07,0.764,https://news.example.com/article/1154,문재인,시장 안정 대책,8·13
공포,"국토부 ""대출 및 금융 규제 효과 지켜봐야""",초기 반응,2026-02-21,0.938,https://news.example.com/article/1156,이재명,대출 및 금융 규제,9·7
공포,주택 공급 대책 이후 강남구 집값 상승,초기 반응,2025-10-09,0.986,https://news.example.com/article/1158,윤석열,주택 공급 대책,10·15
분노,대출 및 금융 규제 이후 종로구 집값 상승,초기 반응,2024-06-01,0.953,https://news.example.com/article/1160,윤석열,대출 및 금융 규제,8·13
중립,"전문가 ""주택 공급 대책, 시장에 미치는 영향은""",체감 반응,2025-01-07,0.715,https://news.example.com/article/1162,문재인,주택 공급 대책,9·7
중립,"이재명 정부, 주택 공급 대책 발표",시행일,2024-05-21,0.797,https://news.example.com/article/1164,이재명,주택 공급 대책,10·15
슬픔,주택 공급 대책 이후 강동구 집값 보합,시행일,2025-07-06,0.508,https://news.example.com/article/1166,박근혜,주택 공급 대책,10·15
공포,"국토부 ""시장 안정 대책 효과 지켜봐야""",시행 전,2024-12-13,0.918,https://news.example.com/article/1168,윤석열,시장 안정 대책,9·7
행복,강서구 주민들 시장 안정 대책에 엇갈린 반응,체감 반응,2026-03-17,0.749,https://news.example.com/article/1170,이재명,시장 안정 대책,6·27
중립,대출 및 금융 규제 이후 성동구 집값 하락,시행일,2024-12-04,0.714,https://news.example.com/article/1172,이재명,대출 및 금융 규제,9·7
분노,"국토부 ""시장 안정 대책 효과 지켜봐야""",시행일,2024-09-01,0.52,https://news.example.com/article/1174,이재명,시장 안정 대책,6·27
중립,"박근혜 정부, 부동산 세제 개편 발표",초기 반응,2026-06-08,0.758,https://news.example.com/article/1176,박근혜,부동산 세제 개편,10·15
분노,마포구 주민들 대출 및 금융 규제에 엇갈린 반응,시행 전,2025-03-17,0.637,https://news.example.com/article/1178,문재인,대출 및 금융 규제,10·15
혐오,강북구 주민들 대출 및 금융 규제에 엇갈린 반응,체감 반응,2025-01-03,0.894,https://news.example.com/article/1180,문재인,대출 및 금융 규제,9·7
중립,"국토부 ""부동산 세제 개편 효과 지켜봐야""",체감 반응,2025-08-10,0.611,https://news.example.com/article/1182,윤석열,부동산 세제 개편,8·13
공포,"전문가 ""부동산 세제 개편, 시장에 미치는 영향은""",시행 전,2025-08-07,0.699,https://news.example.com/article/1184,윤석열,부동산 세제 개편,6·27
중립,"전문가 ""부동산 세제 개편, 시장에 미치는 영향은""",시행 전,2024-11-19,0.989,https://news.example.com/article/1186,박근혜,부동산 세제 개편,10·15
슬픔,"국토부 ""주택 공급 대책 효과 지켜봐야""",초기 반응,2025-09-28,0.737,https://news.example.com/article/1188,박근혜,주택 공급 대책,9·7
분노,대출 및 금융 규제 이후 서대문구 집값 상승,시행일,2025-03-13,0.643,https://news.example.com/article/1190,박근혜,대출 및 금융 규제,10·15
혐오,"국토부 ""대출 및 금융 규제 효과 지켜봐야""",체감 반응,2024-05-20,0.935,https://news.example.com/article/1192,박근혜,대출 및 금융 규제,9·7
슬픔,"전문가 ""주택 공급 대책, 시장에 미치는 영향은""",체감 반응,2024-11-29,0.512,https://news.example.com/article/1194,윤석열,주택 공급 대책,8·13
공포,서초구 주민들 부동산 세제 개편에 엇갈린 반응,시행일,2026-04-23,0.796,https://news.example.com/article/1196,이재명,부동산 세제 개편,9·7
공포,"이재명 정부, 주택 공급 대책 발표",체감 반응,2025-09-29,0.964,https://news.example.com/article/1198,이재명,주택 공급 대책,6·27
공포,"국토부 ""대출 및 금융 규제 효과 지켜봐야""",초기 반응,2024-07-24,0.618,https://news.example.com/article/1200,문재인,대출 및 금융 규제,9·7
분노,강서구 주민들 시장 안정 대책에 엇갈린 반응,시행 전,2026-01-02,0.72,https://news.example.com/article/1202,문재인,시장 안정 대책,6·27
혐오,"전문가 ""부동산 세제 개편, 시장에 미치는 영향은""",시행일,2024-06-04,0.894,https://news.example.com/article/1204,윤석열,부동산 세제 개편,6·27
중립,대출 및 금융 규제 이후 강북구 집값 보합,시행 전,2025-12-31,0.718,https://news.example.com/article/1206,박근혜,대출 및 금융 규제,9·7
중립,"이재명 정부, 주택 공급 대책 발표",시행 전,2025-07-30,0.803,https://news.example.com/article/1208,이재명,주택 공급 대책,9·7
슬픔,"전문가 ""부동산 세제 개편, 시장에 미치는 영향은""",시행 전,2026-05-31,0.811,https://news.example.com/article/1210,윤석열,부동산 세제 개편,6·27
분노,"전문가 ""대출 및 금융 규제, 시장에 미치는 영향은""",초기 반응,2025-12-17,0.966,https://news.example.com/article/1212,문재인,대출 및 금융 규제,10·15
분노,"전문가 ""부동산 세제 개편, 시장에 미치는 영향은""",체감 반응,2025-08-13,0.534,https://news.example.com/article/1214,이재명,부동산 세제 개편,10·15
놀람,"국토부 ""부동산 세제 개편 효과 지켜봐야""",시행 전,2025-11-30,0.732,https://news.example.com/article/1216,윤석열,부동산 세제 개편,10·15
중립,"전문가 ""시장 안정 대책, 시장에 미치는 영향은""",시행일,2025-07-14,0.77,https://news.example.com/article/1218,이재명,시장 안정 대책,10·15
혐오,주택 공급 대책 이후 성동구 집값 하락,체감 반응,2025-03-31,0.595,https://news.example.com/article/1220,박근혜,주택 공급 대책,9·7
혐오,"윤석열 정부, 시장 안정 대책 발표",초기 반응,2026-07-15,0.91,https://news.example.com/article/1222,윤석열,시장 안정 대책,8·13
공포,강동구 주민들 부동산 세제 개편에 엇갈린 반응,초기 반응,2024-06-14,0.915,https://news.example.com/article/1224,문재인,부동산 세제 개편,8·13
중립,"국토부 ""대출 및 금융 규제 효과 지켜봐야""",체감 반응,2025-12-25,0.891,https://news.example.com/article/1226,이재명,대출 및 금융 규제,10·15
슬픔,시장 안정 대책 이후 강남구 집값 하락,초기 반응,2025-05-14,0.596,https://news.example.com/article/1228,윤석열,시장 안정 대책,9·7
슬픔,"전문가 ""주택 공급 대책, 시장에 미치는 영향은""",체감 반응,2024-08-15,0.843,https://news.example.com/article/1230,윤석열,주택 공급 대책,6·27
중립,"윤석열 정부, 시장 안정 대책 발표",시행일,2025-09-16,0.909,https://news.example.com/article/1232,윤석열,시장 안정 대책,6·27
중립,"국토부 ""시장 안정 대책 효과 지켜봐야""",시행 전,2025-02-26,0.963,https://news.example.com/article/1234,문재인,시장 안정 대책,10·15
공포,성동구 주민들 부동산 세제 개편에 엇갈린 반응,시행일,2024-06-16,0.59,https://news.example.com/article/1236,문재인,부동산 세제 개편,8·13
중립,"전문가 ""시장 안정 대책, 시장에 미치는 영향은""",초기 반응,2025-01-29,0.946,https://news.example.com/article/1238,이재명,시장 안정 대책,9·7
공포,부동산 세제 개편 이후 노원구 집값 상승,시행일,2025-11-29,0.649,https://news.example.com/article/1240,박근혜,부동산 세제 개편,6·27
행복,"박근혜 정부, 주택 공급 대책 발표",시행일,2026-02-11,0.753,https://news.example.com/article/1242,박근혜,주택 공급 대책,6·27
행복,"국토부 ""시장 안정 대책 효과 지켜봐야""",초기 반응,2026-01-24,0.846,https://news.example.com/article/1244,이재명,시장 안정 대책,9·7
슬픔,중랑구 주민들 대출 및 금융 규제에 엇갈린 반응,시행일,2025-04-19,0.672,https://news.example.com/article/1246,문재인,대출 및 금융 규제,8·13
혐오,주택 공급 대책 이후 강남구 집값 보합,시행일,2024-08-22,0.765,https://news.example.com/article/1248,박근혜,주택 공급 대책,10·15
분노,강북구 주민들 대출 및 금융 규제에 엇갈린 반응,체감 반응,2025-10-18,0.638,https://news.example.com/article/1250,박근혜,대출 및 금융 규제,9·7
행복,부동산 세제 개편 이후 송파구 집값 하락,시행일,2025-08-29,0.705,https://news.example.com/article/1252,이재명,부동산 세제 개편,8·13
슬픔,주택 공급 대책 이후 중구 집값 하락,시행일,2024-10-08,0.553,https://news.example.com/article/1254,박근혜,주택 공급 대책,9·7
공포,"국토부 ""부동산 세제 개편 효과 지켜봐야""",체감 반응,2026-06-15,0.585,https://news.example.com/article/1256,박근혜,부동산 세제 개편,8·13
공포,양천구 주민들 주택 공급 대책에 엇갈린 반응,시행 전,2024-09-12,0.789,https://news.example.com/article/1258,문재인,주택 공급 대책,6·27
혐오,"전문가 ""대출 및 금융 규제, 시장에 미치는 영향은""",시행 전,2024-10-26,0.743,https://news.example.com/article/1260,문재인,대출 및 금융 규제,8·13
혐오,대출 및 금융 규제 이후 광진구 집값 상승,체감 반응,2025-04-14,0.969,https://news.example.com/article/1262,윤석열,대출 및 금융 규제,6·27
공포,"윤석열 정부, 시장 안정 대책 발표",초기 반응,2025-07-30,0.981,https://news.example.com/article/1264,윤석열,시장 안정 대책,10·15
행복,"윤석열 정부, 대출 및 금융 규제 발표",체감 반응,2025-07-10,0.843,https://news.example.com/article/1266,윤석열,대출 및 금융 규제,9·7
중립,주택 공급 대책 이후 마포구 집값 보합,시행 전,2025-12-31,0.524,https://news.example.com/article/1268,이재명,주택 공급 대책,9·7
공포,"이재명 정부, 대출 및 금융 규제 발표",시행 전,2025-06-26,0.732,https://news.example.com/article/1270,이재명,대출 및 금융 규제,6·27
공포,"윤석열 정부, 대출 및 금융 규제 발표",시행일,2024-05-10,0.649,https://news.example.com/article/1272,윤석열,대출 및 금융 규제,6·27
공포,"국토부 ""주택 공급 대책 효과 지켜봐야""",초기 반응,2025-05-15,0.796,https://news.example.com/article/1274,박근혜,주택 공급 대책,8·13
중립,대출 및 금융 규제 이후 중구 집값 보합,체감 반응,2025-05-26,0.94,https://news.example.com/article/1276,이재명,대출 및 금융 규제,6·27
중립,"국토부 ""대출 및 금융 규제 효과 지켜봐야""",시행 전,2025-10-09,0.81,https://news.example.com/article/1278,박근혜,대출 및 금융 규제,10·15
슬픔,"전문가 ""주택 공급 대책, 시장에 미치는 영향은""",초기 반응,2026-04-21,0.676,https://news.example.com/article/1280,문재인,주택 공급 대책,10·15
분노,주택 공급 대책 이후 관악구 집값 하락,시행일,2024-10-09,0.547,https://news.example.com/article/1282,이재명,주택 공급 대책,6·27
중립,"국토부 ""부동산 세제 개편 효과 지켜봐야""",시행일,2025-11-05,0.744,https://news.example.com/article/1284,이재명,부동산 세제 개편,6·27
슬픔,"국토부 ""시장 안정 대책 효과 지켜봐야""",시행 전,2025-07-09,0.853,https://news.example.com/article/1286,이재명,시장 안정 대책,6·27
슬픔,"국토부 ""시장 안정 대책 효과 지켜봐야""",체감 반응,2024-05-17,0.845,https://news.example.com/article/1288,이재명,시장 안정 대책,6·27
공포,"국토부 ""대출 및 금융 규제 효과 지켜봐야""",초기 반응,2025-10-26,0.859,https://news.example.com/article/1290,문재인,대출 및 금융 규제,8·13
중립,"국토부 ""대출 및 금융 규제 효과 지켜봐야""",시행 전,2026-03-19,0.924,https://news.example.com/article/1292,문재인,대출 및 금융 규제,6·27
슬픔,양천구 주민들 시장 안정 대책에 엇갈린 반응,시행 전,2024-10-13,0.85,https://news.example.com/article/1294,문재인,시장 안정 대책,9·7
공포,대출 및 금융 규제 이후 도봉구 집값 하락,시행일,2026-04-23,0.907,https://news.example.com/article/1296,이재명,대출 및 금융 규제,10·15
놀람,"박근혜 정부, 부동산 세제 개편 발표",시행일,2024-10-25,0.841,https://news.example.com/article/1298,박근혜,부동산 세제 개편,9·7
슬픔,중구 주민들 대출 및 금융 규제에 엇갈린 반응,시행일,2025-05-01,0.643,https://news.example.com/article/1300,윤석열,대출 및 금융 규제,10·15
슬픔,"전문가 ""시장 안정 대책, 시장에 미치는 영향은""",체감 반응,2025-09-15,0.743,https://news.example.com/article/1302,이재명,시장 안정 대책,6·27
놀람,"전문가 ""대출 및 금융 규제, 시장에 미치는 영향은""",시행 전,2025-11-12,0.733,https://news.example.com/article/1304,박근혜,대출 및 금융 규제,8·13
중립,"이재명 정부, 부동산 세제 개편 발표",시행 전,2024-06-17,0.713,https://news.example.com/article/1306,이재명,부동산 세제 개편,10·15
분노,시장 안정 대책 이후 중랑구 집값 보합,시행일,2024-12-08,0.739,https://news.example.com/article/1308,윤석열,시장 안정 대책,9·7
분노,성동구 주민들 대출 및 금융 규제에 엇갈린 반응,시행일,2025-05-17,0.878,https://news.example.com/article/1310,이재명,대출 및 금융 규제,6·27
행복,"전문가 ""대출 및 금융 규제, 시장에 미치는 영향은""",체감 반응,2025-06-23,0.724,https://news.example.com/article/1312,문재인,대출 및 금융 규제,8·13
혐오,"박근혜 정부, 시장 안정 대책 발표",체감 반응,2025-05-04,0.848,https://news.example.com/article/1314,박근혜,시장 안정 대책,8·13
분노,중구 주민들 대출 및 금융 규제에 엇갈린 반응,초기 반응,2024-11-10,0.658,https://news.example.com/article/1316,윤석열,대출 및 금융 규제,9·7
혐오,"이재명 정부, 대출 및 금융 규제 발표",시행일,2024-05-08,0.667,https://news.example.com/article/1318,이재명,대출 및 금융 규제,9·7
슬픔,시장 안정 대책 이후 금천구 집값 하락,시행 전,2026-02-11,0.751,https://news.example.com/article/1320,박근혜,시장 안정 대책,6·27
공포,"국토부 ""시장 안정 대책 효과 지켜봐야""",시행 전,2025-06-11,0.712,https://news.example.com/article/1322,박근혜,시장 안정 대책,6·27
슬픔,부동산 세제 개편 이후 중구 집값 상승,시행일,2025-04-24,0.922,https://news.example.com/article/1324,윤석열,부동산 세제 개편,6·27
공포,주택 공급 대책 이후 서초구 집값 하락,체감 반응,2025-06-02,0.844,https://news.example.com/article/1326,이재명,주택 공급 대책,10·15
중립,시장 안정 대책 이후 중구 집값 하락,시행일,2025-01-13,0.846,https://news.example.com/article/1328,이재명,시장 안정 대책,9·7
중립,대출 및 금융 규제 이후 관악구 집값 상승,시행 전,2024-07-26,0.508,https://news.example.com/article/1330,박근혜,대출 및 금융 규제,10·15
공포,대출 및 금융 규제 이후 중랑구 집값 상승,체감 반응,2025-12-23,0.767,https://news.example.com/article/1332,이재명,대출 및 금융 규제,9·7
중립,대출 및 금융 규제 이후 서대문구 집값 하락,초기 반응,2025-08-11,0.514,https://news.example.com/article/1334,박근혜,대출 및 금융 규제,9·7
슬픔,"전문가 ""대출 및 금융 규제, 시장에 미치는 영향은""",체감 반응,2025-04-21,0.741,https://news.example.com/article/1336,이재명,대출 및 금융 규제,6·27
중립,강북구 주민들 부동산 세제 개편에 엇갈린 반응,시행일,2026-01-11,0.791,https://news.example.com/article/1338,문재인,부동산 세제 개편,9·7
중립,"윤석열 정부, 시장 안정 대책 발표",시행 전,2024-11-21,0.819,https://news.example.com/article/1340,윤석열,시장 안정 대책,6·27
혐오,"국토부 ""주택 공급 대책 효과 지켜봐야""",체감 반응,2025-01-31,0.662,https://news.example.com/article/1342,이재명,주택 공급 대책,8·13
중립,"국토부 ""시장 안정 대책 효과 지켜봐야""",초기 반응,2026-01-11,0.715,https://news.example.com/article/1344,윤석열,시장 안정 대책,8·13
중립,"이재명 정부, 대출 및 금융 규제 발표",초기 반응,2024-07-26,0.696,https://news.example.com/article/1346,이재명,대출 및 금융 규제,8·13
공포,영등포구 주민들 시장 안정 대책에 엇갈린 반응,체감 반응,2024-08-09,0.896,https://news.example.com/article/1348,이재명,시장 안정 대책,8·13
공포,"박근혜 정부, 시장 안정 대책 발표",시행일,2025-02-05,0.937,https://news.example.com/article/1350,박근혜,시장 안정 대책,9·7
행복,"국토부 ""대출 및 금융 규제 효과 지켜봐야""",시행 전,2024-12-14,0.97,https://news.example.com/article/1352,이재명,대출 및 금융 규제,6·27
중립,서초구 주민들 대출 및 금융 규제에 엇갈린 반응,시행 전,2025-12-27,0.864,https://news.example.com/article/1354,문재인,대출 및 금융 규제,6·27
중립,시장 안정 대책 이후 강남구 집값 하락,체감 반응,2025-04-21,0.775,https://news.example.com/article/1356,문재인,시장 안정 대책,6·27
놀람,"국토부 ""시장 안정 대책 효과 지켜봐야""",체감 반응,2025-04-14,0.678,https://news.example.com/article/1358,문재인,시장 안정 대책,10·15
